defined_class	defined_class_name	entity	entity_name	attribute	attribute_name	exact_synonyms	xrefs	orcid
OBA:0000127	pronephric kidney size	UBERON:0002120	pronephros	PATO:0000117	size			
OBA:0000138	spindle density	GO:0005819	spindle	PATO:0000070	amount			
OBA:0000160	thalamus size	UBERON:0001897	dorsal plus ventral thalamus	PATO:0000117	size			
OBA:0000161	force of heart contraction	GO:0060047	heart contraction	PATO:0001035	force			
OBA:0000164	velocity of shortening of skeletal muscle modulating contraction	GO:0003009	skeletal muscle contraction	PATO:0000008	speed			
OBA:0000166	tracheal tube diameter	UBERON:0000117	respiratory tube	PATO:0001334	diameter			
OBA:0000167	tracheal tube length	UBERON:0000117	respiratory tube	PATO:0000122	length			
OBA:0000168	tracheal tube size	UBERON:0000117	respiratory tube	PATO:0000117	size			
OBA:0000169	translational accuracy	GO:0006412	translation	PATO:0001509	functionality			
OBA:0000171	tube diameter	UBERON:0000025	tube	PATO:0001334	diameter			
OBA:0000172	tube size	UBERON:0000025	tube	PATO:0000117	size			
OBA:0000173	urinary volume	UBERON:0001088	urine	PATO:0000918	volume			
OBA:0000174	vascular permeability	UBERON:0000055	vessel	PATO:0000970	permeability			
OBA:1000001	blood brain barrier permeability	UBERON:0000120	blood brain barrier	PATO:0000970	permeability			
OBA:1000002	intermammary line length	UBERON:0013771	line connecting laterally paired nipples	PATO:0000122	length			
OBA:1000003	inter-canthal distance	UBERON:0013678	anatomical line between inner canthi	PATO:0000122	length			
OBA:1000004	distance between ears	UBERON:0010231	anatomical line between outer ears	PATO:0000122	length			
OBA:1000005	inter-pupillar distance	UBERON:0010222	anatomical line between pupils	PATO:0000122	length			
OBA:1000006	cilium length	GO:0005929	cilium	PATO:0000122	length			
OBA:1000007	dendrite length	GO:0030425	dendrite	PATO:0000122	length			
OBA:1000008	microtubule length	GO:0005874	microtubule	PATO:0000122	length			
OBA:1000009	mitochondrial nucleoid size	GO:0042645	mitochondrial nucleoid	PATO:0000117	size			
OBA:1000010	spindle length	GO:0005819	spindle	PATO:0000122	length			
OBA:1000012	germ tube septin ring length	GO:0032172	germ tube septin ring	PATO:0000122	length			
OBA:1000017	mating projection tip length	GO:0043332	mating projection tip	PATO:0000122	length			
OBA:1000018	nucleus shape	GO:0005634	nucleus	PATO:0000052	shape			
OBA:1000021	cotyledon size	PO:0020030	cotyledon	PATO:0000117	size			
OBA:1000024	subcutaneous adipose tissue ratio	UBERON:0002190	subcutaneous adipose tissue	PATO:0001470	ratio			
OBA:1000025	breast size	UBERON:0000310	breast	PATO:0000117	size			
OBA:1000027	thyroid gland volume	UBERON:0002046	thyroid gland	PATO:0000918	volume			
OBA:1000028	membrane permeability	GO:0016020	membrane	PATO:0000970	permeability			
OBA:1000029	cerebellum shape	UBERON:0002037	cerebellum	PATO:0000052	shape			
OBA:1000030	upper arm circumference	UBERON:0003822	forelimb stylopod	PATO:0001648	circumference			
OBA:1000031	neck circumference	UBERON:0000974	neck	PATO:0001648	circumference			
OBA:1000032	hip circumference	UBERON:0001464	hip	PATO:0001648	circumference			
OBA:1000033	upper leg circumference	UBERON:0000376	hindlimb stylopod	PATO:0001648	circumference			
OBA:1000034	cell surface area	GO:0009986	cell surface	PATO:0001323	area			
OBA:1000035	lens of camera-type eye opacity	UBERON:0000965	lens of camera-type eye	PATO:0000957	opacity			
OBA:1000036	cell mass	CL:0000000	cell	PATO:0000125	mass			
OBA:1000037	adult organism mass	UBERON:0007023	adult organism	PATO:0000125	mass			
OBA:1000038	mollusc shell height	UBERON:0008270	mollusc shell	PATO:0000119	height			
OBA:1000039	mollusc shell length	UBERON:0008270	mollusc shell	PATO:0000122	length			
OBA:1000040	secondary xylem volumetric density	PO:0005848	secondary xylem	PATO:0001353	volumetric density			
OBA:1000041	cotyledonary node color	PO:0025321	cotyledonary node	PATO:0000014	color			
OBA:1000042	scutellar node color	PO:0004708	scutellar node	PATO:0000014	color			
OBA:1000043	shoot node color	PO:0005004	shoot axis node	PATO:0000014	color			
OBA:1000045	iris color	UBERON:0001769	iris	PATO:0000014	color			
OBA:1000046	philtrum length	UBERON:0005402	philtrum	PATO:0000122	length			
OBA:1000047	palpebral fissure length	UBERON:0001819	palpebral fissure	PATO:0000122	length			
OBA:1000048	manus length	UBERON:0002398	manus	PATO:0000122	length			
OBA:1000049	pes length	UBERON:0002387	pes	PATO:0000122	length			
OBA:1000050	palmar part of manus length	UBERON:0008878	palmar part of manus	PATO:0000122	length			
OBA:1000068	epiplastron size	UBERON:0011658	epiplastron	PATO:0000117	size			
OBA:1000069	epiplastron mass	UBERON:0011658	epiplastron	PATO:0000125	mass			
OBA:1000070	xiphiplastron size	UBERON:0011661	xiphiplastron	PATO:0000117	size			
OBA:1000071	coat color	UBERON:0010166	coat of hair	PATO:0000014	color			
OBA:1000072	coat color pattern	UBERON:0010166	coat of hair	PATO:0000019	color pattern			
OBA:1000073	coat spatial pattern	UBERON:0010166	coat of hair	PATO:0000060	spatial pattern			
OBA:1000074	antenna size	UBERON:0000972	antenna	PATO:0000117	size			
OBA:1000075	cytosol color	GO:0005829	cytosol	PATO:0000014	color			
OBA:1000079	muscle organ strength	UBERON:0001630	muscle organ	PATO:0001230	strength			
OBA:1000080	skeletal muscle organ strength	UBERON:0014892	skeletal muscle organ	PATO:0001230	strength			
OBA:1000081	forelimb muscle strength	UBERON:0003662	forelimb muscle	PATO:0001230	strength			
OBA:1000082	hindlimb muscle strength	UBERON:0003663	hindlimb muscle	PATO:0001230	strength			
OBA:1000083	nucleus length	GO:0005634	nucleus	PATO:0000122	length			
OBA:1000084	cell surface texture	GO:0009986	cell surface	PATO:0000150	texture			
OBA:1000085	nucleus width	GO:0005634	nucleus	PATO:0000921	width			
OBA:1000092	dinoflagellate cingulum shape	GO:0097611	dinoflagellate cingulum	PATO:0000052	shape			
OBA:1000093	dinoflagellate sulcus shape	GO:0097612	dinoflagellate sulcus	PATO:0000052	shape			
OBA:1000094	chloroplast shape	GO:0009507	chloroplast	PATO:0000052	shape			
OBA:1000095	chloroplast spatial pattern	GO:0009507	chloroplast	PATO:0000060	spatial pattern			
OBA:1000096	chloroplast color	GO:0009507	chloroplast	PATO:0000014	color			
OBA:1000097	chloroplast size	GO:0009507	chloroplast	PATO:0000117	size			
OBA:1000098	dinoflagellate sulcus width	GO:0097612	dinoflagellate sulcus	PATO:0000921	width			
OBA:1000101	axial skeleton plus cranial skeleton length	UBERON:0005944	axial skeleton plus cranial skeleton	PATO:0000122	length			
OBA:1000102	vertebral column length	UBERON:0001130	vertebral column	PATO:0000122	length			
OBA:1000103	cervical region of vertebral column length	UBERON:0006072	cervical region of vertebral column	PATO:0000122	length			
OBA:1000104	subdivision of vertebral column length	UBERON:0006077	subdivision of vertebral column	PATO:0000122	length			
OBA:1000105	tissue composition	UBERON:0000479	tissue	PATO:0000025	composition			
OBA:1000106	skeletal tissue composition	UBERON:0004755	skeletal tissue	PATO:0000025	composition			
OBA:1000107	testis position	UBERON:0000473	testis	PATO:0000140	position			
OBA:1000109	anatomical pigmentation	UBERON:0000061	anatomical structure	PATO:0002247	degree of pigmentation			
OBA:1000110	bone tissue density	UBERON:0002481	bone tissue	PATO:0001019	mass density			https://orcid.org/0000-0001-8314-2140
OBA:1000111	adrenal gland size	UBERON:0002369	adrenal gland	PATO:0000117	size			
OBA:1000112	tooth size	UBERON:0001091	calcareous tooth	PATO:0000117	size			
OBA:1000113	incisor size	UBERON:0001098	incisor tooth	PATO:0000117	size			
OBA:1000114	axon terminus orientation	GO:0043679	axon terminus	PATO:0000133	orientation			
OBA:1000115	axon length	GO:0030424	axon	PATO:0000122	length			
OBA:1000116	axon located in	GO:0030424	axon	PATO:0002261	located in			
OBA:1000117	axon shape	GO:0030424	axon	PATO:0000052	shape			
OBA:1000118	dendrite count	GO:0030425	dendrite	PATO:0000070	amount			
OBA:1000119	dendrite thickness	GO:0030425	dendrite	PATO:0000915	thickness			
OBA:1000120	axon orientation	GO:0030424	axon	PATO:0000133	orientation			
OBA:1000121	dendrite orientation	GO:0030425	dendrite	PATO:0000133	orientation			
OBA:1000122	dendrite shape	GO:0030425	dendrite	PATO:0000052	shape			
OBA:1000123	dendrite size	GO:0030425	dendrite	PATO:0000117	size			
OBA:1000124	blue iris	UBERON:0001769	iris	PATO:0000318	blue			
OBA:1000125	brown strand of hair	UBERON:0001037	strand of hair	PATO:0000952	brown			
OBA:1000126	dinoflagellate epicone length	GO:0097613	dinoflagellate epicone	PATO:0000122	length			
OBA:1000127	dinoflagellate hypocone length	GO:0097614	dinoflagellate hypocone	PATO:0000122	length			
OBA:1000128	eyespot apparatus color	GO:1990413	eyespot apparatus	PATO:0000014	color			
OBA:1000129	cell color	CL:0000000	cell	PATO:0000014	color			
OBA:1000130	nucleus diameter	GO:0005634	nucleus	PATO:0001334	diameter			
OBA:1000131	eyespot apparatus located in	GO:1990413	eyespot apparatus	PATO:0002261	located in			
OBA:1000132	dinoflagellate sulcal notch shape	GO:0097618	dinoflagellate sulcal notch	PATO:0000052	shape			
OBA:1000133	dinoflagellate apex shape	GO:0097683	dinoflagellate apex	PATO:0000052	shape			
OBA:1000134	dinoflagellate antapex shape	GO:0097684	dinoflagellate antapex	PATO:0000052	shape			
OBA:1000135	dinoflagellate apical horn shape	GO:0097686	dinoflagellate apical horn	PATO:0000052	shape			
OBA:1000136	dinoflagellate antapical horn shape	GO:0097687	dinoflagellate antapical horn	PATO:0000052	shape			
OBA:1000137	endolymph volume	UBERON:0001852	endolymph	PATO:0000918	volume			
OBA:1000138	bone element size	UBERON:0001474	bone element	PATO:0000117	size			
OBA:1000139	skeletal joint flexibility	UBERON:0000982	skeletal joint	PATO:0001543	flexibility			
OBA:1000140	epipubic bone size	UBERON:0013204	epipubic bone	PATO:0000117	size			
OBA:1000141	epipubic bone mass density	UBERON:0013204	epipubic bone	PATO:0001019	mass density			
OBA:1000142	vesicle size	GO:0031982	vesicle	PATO:0000117	size			
OBA:1000143	lymphatic vessel size	UBERON:0001473	lymphatic vessel	PATO:0000117	size			
OBA:1000144	lymphatic vessel permeability	UBERON:0001473	lymphatic vessel	PATO:0000970	permeability			
OBA:1000146	endoplasmic reticulum membrane permeability	GO:0005789	endoplasmic reticulum membrane	PATO:0000970	permeability			
OBA:VT0000002	head size trait	UBERON:0000033	head	PATO:0000117	size			
OBA:VT0000005	right atrium size trait	UBERON:0002078	right cardiac atrium	PATO:0000117	size			
OBA:VT0000006	esophagus size trait	UBERON:0001043	esophagus	PATO:0000117	size			
OBA:VT0000012	left atrium size trait	UBERON:0002079	left cardiac atrium	PATO:0000117	size			
OBA:VT0000013	adipose distribution trait	UBERON:0001013	adipose tissue	PATO:0000060	spatial pattern			
OBA:VT0000017	outer ear size trait	UBERON:0001691	external ear	PATO:0000117	size			
OBA:VT0000022	outer ear shape trait	UBERON:0001691	external ear	PATO:0000052	shape			
OBA:VT0000027	head width	UBERON:0000033	head	PATO:0000921	width			
OBA:VT0000038	head length	UBERON:0000033	head	PATO:0000122	length			
OBA:VT0000041	endolymphatic duct size trait	UBERON:0001860	endolymphatic duct	PATO:0000117	size			
OBA:VT0000047	head circumference	UBERON:0000033	head	PATO:0001648	circumference			
OBA:VT0000051	testes physiology trait	UBERON:0000473	testis	PATO:0001509	functionality			
OBA:VT0000072	bone elasticity trait	UBERON:0001474	bone element	PATO:0001031	elasticity			
OBA:VT0000124	tooth quantity	UBERON:0001091	calcareous tooth	PATO:0001555	has number of			
OBA:VT0000126	tooth strength trait	UBERON:0001091	calcareous tooth	PATO:0001230	strength			
OBA:VT0000132	epiphysis width	UBERON:0001437	epiphysis	PATO:0000921	width			
OBA:VT0000134	compact bone thickness	UBERON:0001439	compact bone tissue	PATO:0000915	thickness			
OBA:VT0000138	vertebra quantity	UBERON:0002412	vertebra	PATO:0001555	has number of			
OBA:VT0000142	outer ear thickness	UBERON:0001691	external ear	PATO:0000915	thickness			
OBA:VT0000167	chondrocyte quantity	CL:0000138	chondrocyte	PATO:0001555	has number of			
OBA:VT0000170	blood vessel physiology trait	UBERON:0001981	blood vessel	PATO:0001509	functionality			
OBA:VT0000171	blood physiology trait	UBERON:0000178	blood	PATO:0001509	functionality			
OBA:VT0000173	lymph vessel physiology trait	UBERON:0001473	lymphatic vessel	PATO:0001509	functionality			
OBA:VT0000174	lymph physiology trait	UBERON:0002391	lymph	PATO:0001509	functionality			
OBA:VT0000182	blood flow trait	UBERON:0000178	blood	PATO:0001574	flow rate			
OBA:VT0000183	blood pressure trait	UBERON:0000178	blood	PATO:0001025	pressure			
OBA:VT0000190	blood vessel permeability trait	UBERON:0001981	blood vessel	PATO:0000970	permeability			
OBA:VT0000217	leukocyte quantity	CL:0000738	leukocyte	PATO:0000070	amount			
OBA:VT0000222	neutrophil quantity	CL:0000775	neutrophil	PATO:0000070	amount			
OBA:VT0000223	monocyte quantity	CL:0000576	monocyte	PATO:0000070	amount			
OBA:VT0000237	blood cell quantity	CL:0000081	blood cell	PATO:0000070	amount	blood cell count		
OBA:VT0000240	hematopoiesis location trait	GO:0030097	hemopoiesis	PATO:0000140	position			
OBA:VT0000248	erythrocyte size trait	CL:0000232	erythrocyte	PATO:0000117	size			
OBA:VT0000254	cerebrospinal fluid amount	UBERON:0001359	cerebrospinal fluid	PATO:0000918	volume			
OBA:VT0000259	capillary permeability trait	UBERON:0001982	capillary	PATO:0000970	permeability			
OBA:VT0000268	vibrissa quantity	UBERON:0001037	strand of hair	PATO:0000070	amount			
OBA:VT0000277	heart shape trait	UBERON:0000948	heart	PATO:0000052	shape			
OBA:VT0000285	heart valve morphology trait	UBERON:0000946	cardial valve	PATO:0000052	shape			
OBA:VT0000319	endolymph physiology trait	UBERON:0001852	endolymph	PATO:0001509	functionality			
OBA:VT0000334	granulocyte quantity	CL:0000094	granulocyte	PATO:0001555	has number of			
OBA:VT0000336	mast cell quantity	CL:0000097	mast cell	PATO:0001555	has number of			
OBA:VT0000340	perilymph physiology trait	UBERON:0001845	perilymph	PATO:0001509	functionality			
OBA:VT0000341	bile color	UBERON:0001970	bile	PATO:0000014	color			
OBA:VT0000353	vestibular system physiology trait	UBERON:0004681	vestibular system	PATO:0001509	functionality			
OBA:VT0000357	limb quantity	UBERON:0002101	limb	PATO:0001555	has number of			
OBA:VT0000379	hair follicle quantity	UBERON:0002073	hair follicle	PATO:0001555	has number of			
OBA:VT0000383	hair follicle orientation trait	UBERON:0002073	hair follicle	PATO:0000133	orientation			
OBA:VT0000384	hair follicle organization trait	UBERON:0002073	hair follicle	PATO:0000060	spatial pattern			
OBA:VT0000385	hair follicle size trait	UBERON:0002073	hair follicle	PATO:0000117	size			
OBA:VT0000413	phalanx quantity	UBERON:0003221	phalanx	PATO:0001555	has number of			
OBA:VT0000416	hair amount	UBERON:0001037	strand of hair	PATO:0001019	mass density			
OBA:VT0000417	hair length	UBERON:0001037	strand of hair	PATO:0000122	length			
OBA:VT0000424	hair growth trait	UBERON:0001037	strand of hair	PATO:0001492	growth rate			
OBA:VT0000444	snout shape trait	UBERON:0006333	snout	PATO:0000052	shape			
OBA:VT0000446	snout length	UBERON:0006333	snout	PATO:0000122	length			
OBA:VT0000449	nasal bridge width	UBERON:0008340	nasal bridge	PATO:0000921	width			
OBA:VT0000461	presacral vertebra quantity	UBERON:0004451	trunk or cervical vertebra	PATO:0001555	has number of			
OBA:VT0000481	intestinal cell quantity	CL:0000584	enterocyte	PATO:0001555	has number of			
OBA:VT0000482	fibula length	UBERON:0001446	fibula	PATO:0000122	length			
OBA:VT0000497	small intestine orientation trait	UBERON:0002108	small intestine	PATO:0000140	position			
OBA:VT0000524	kidney tubule quantity	UBERON:0001231	nephron tubule	PATO:0001555	has number of			
OBA:VT0000526	kidney pyramid size trait	UBERON:0004200	kidney pyramid	PATO:0000117	size			
OBA:VT0000539	urinary bladder size trait	UBERON:0001255	urinary bladder	PATO:0000117	size			
OBA:VT0000544	urinary bladder transitional epithelium thickness	UBERON:0004645	urinary bladder urothelium	PATO:0000915	thickness			
OBA:VT0000548	limb length	UBERON:0002101	limb	PATO:0000122	length			
OBA:VT0000573	hind paw size trait	UBERON:0002387	pes	PATO:0000117	size			
OBA:VT0000580	nail shape trait	UBERON:0001705	nail	PATO:0000052	shape			
OBA:VT0000583	nail length	UBERON:0001705	nail	PATO:0000122	length			
OBA:VT0000588	tail diameter	UBERON:0002415	tail	PATO:0001334	diameter			
OBA:VT0000599	liver size trait	UBERON:0002107	liver	PATO:0000117	size			
OBA:VT0000602	sinusoidal space size trait	UBERON:0014399	sinusoidal space	PATO:0000117	size			
OBA:VT0000603	liver pigmentation trait	UBERON:0002107	liver	PATO:0000014	color			
OBA:VT0000606	hepatocyte quantity	CL:0000182	hepatocyte	PATO:0001555	has number of			
OBA:VT0000609	liver physiology trait	UBERON:0002107	liver	PATO:0001509	functionality			
OBA:VT0000652	sebaceous gland size trait	UBERON:0001821	sebaceous gland	PATO:0000117	size			
OBA:VT0000655	sex gland size trait	UBERON:0003937	sex gland	PATO:0000117	size			
OBA:VT0000659	prostate size trait	UBERON:0002367	prostate gland	PATO:0000117	size			
OBA:VT0000660	lateral prostate size trait	UBERON:0013637	prostate gland lateral lobe	PATO:0000117	size			
OBA:VT0000661	ventral prostate size trait	UBERON:0007615	prostate gland ventral lobe	PATO:0000117	size			
OBA:VT0000689	spleen morphology trait	UBERON:0002106	spleen	PATO:0000141	structure			
OBA:VT0000700	lymph node quantity	UBERON:0000029	lymph node	PATO:0001555	has number of			
OBA:VT0000701	lymph node size trait	UBERON:0000029	lymph node	PATO:0000117	size			
OBA:VT0000703	thymus morphology trait	UBERON:0002370	thymus	PATO:0000141	structure			
OBA:VT0000715	thymocyte quantity	CL:0000893	thymocyte	PATO:0001555	has number of			
OBA:VT0000717	lymphocyte quantity	CL:0000542	lymphocyte	PATO:0001555	has number of			
OBA:VT0000740	smooth muscle contractility trait	UBERON:0001135	smooth muscle tissue	PATO:0001579	contractility			
OBA:VT0000741	detrusor smooth muscle contractility trait	UBERON:0000381	urinary bladder detrusor smooth muscle	PATO:0001579	contractility			
OBA:VT0000742	ileal smooth muscle contractility trait	UBERON:0014390	muscle layer of ileum	PATO:0001579	contractility			
OBA:VT0000761	diaphragm thickness	UBERON:0001103	diaphragm	PATO:0000915	thickness			
OBA:VT0000771	brain size trait	UBERON:0000955	brain	PATO:0000117	size			
OBA:VT0000777	inferior colliculus size trait	UBERON:0001946	inferior colliculus	PATO:0000117	size			
OBA:VT0000781	corpus callosum size trait	UBERON:0002336	corpus callosum	PATO:0000117	size			
OBA:VT0000789	cerebral cortex thickness	UBERON:0001950	neocortex	PATO:0000915	thickness			
OBA:VT0000825	lateral ventricle size trait	UBERON:0002285	telencephalic ventricle	PATO:0000117	size			
OBA:VT0000827	third ventricle size trait	UBERON:0002286	third ventricle	PATO:0000117	size			
OBA:VT0000829	fourth ventricle size trait	UBERON:0002422	fourth ventricle	PATO:0000117	size			
OBA:VT0000852	cerebellum size trait	UBERON:0002037	cerebellum	PATO:0000117	size			
OBA:VT0000865	cerebellum vermis size trait	UBERON:0004720	cerebellar vermis	PATO:0000117	size			
OBA:VT0000868	cerebellum anterior vermis size trait	UBERON:0003941	cerebellum anterior vermis	PATO:0000117	size			
OBA:VT0000873	external granule cell layer thickness	UBERON:0008829	cerebellum external granule cell layer	PATO:0000915	thickness			
OBA:VT0000878	Purkinje cell quanitity	CL:0000121	Purkinje cell	PATO:0001555	has number of			
OBA:VT0000890	cerebellar molecular layer thickness	UBERON:0002974	molecular layer of cerebellar cortex	PATO:0000915	thickness			
OBA:VT0000900	corpora quadrigemina size trait	UBERON:0002259	corpora quadrigemina	PATO:0000117	size			
OBA:VT0000901	corpora quadrigemina organization trait	UBERON:0002259	corpora quadrigemina	PATO:0000140	position			
OBA:VT0000905	superior colliculus size trait	UBERON:0001945	superior colliculus	PATO:0000117	size			
OBA:VT0000907	trigeminal V mesencephalic nucleus size trait	UBERON:0001718	mesencephalic nucleus of trigeminal nerve	PATO:0000117	size			
OBA:VT0000910	facial motor nucleus size trait	UBERON:0003011	facial motor nucleus	PATO:0000117	size			
OBA:VT0000912	trigeminal motor nucleus size trait	UBERON:0002633	motor nucleus of trigeminal nerve	PATO:0000117	size			
OBA:VT0000927	floor plate size trait	UBERON:0003079	floor plate	PATO:0000117	size			
OBA:VT0000936	telencephalic vesicle size trait	UBERON:0001869	cerebral hemisphere	PATO:0000117	size			
OBA:VT0000939	motor neuron quantity	CL:0000100	motor neuron	PATO:0001555	has number of			
OBA:VT0000964	dorsal root ganglion size trait	UBERON:0000044	dorsal root ganglion	PATO:0000117	size			
OBA:VT0000983	Meissner's corpuscle size trait	UBERON:0012450	Meissner's corpuscle	PATO:0000117	size			
OBA:VT0000986	Merkel's receptor quantity	UBERON:0012456	Merkel nerve ending	PATO:0000070	amount			
OBA:VT0000992	primary muscle spindle size trait	UBERON:0004010	primary muscle spindle	PATO:0000117	size			
OBA:VT0000995	secondary muscle spindle size trait	UBERON:0004011	secondary muscle spindle	PATO:0000117	size			
OBA:VT0001013	superior cervical ganglion size trait	UBERON:0001989	superior cervical ganglion	PATO:0000117	size			
OBA:VT0001020	L4 ganglion size trait	UBERON:0003943	fourth lumbar dorsal root ganglion	PATO:0000117	size			
OBA:VT0001023	L5 ganglion size trait	UBERON:0002859	fifth lumbar dorsal root ganglion	PATO:0000117	size			
OBA:VT0001036	submandibular ganglion size trait	UBERON:0002059	submandibular ganglion	PATO:0000117	size			
OBA:VT0001048	enteric neuron quantity	CL:0007011	enteric neuron	PATO:0000070	amount			
OBA:VT0001059	optic nerve size trait	UBERON:0004904	neuron projection bundle connecting eye with brain	PATO:0000117	size			
OBA:VT0001062	oculomotor nerve size trait	UBERON:0001643	oculomotor nerve	PATO:0000117	size			
OBA:VT0001064	trochlear nerve size trait	UBERON:0001644	trochlear nerve	PATO:0000117	size			
OBA:VT0001083	geniculate ganglion size trait	UBERON:0001700	geniculate ganglion	PATO:0000117	size			
OBA:VT0001085	petrosal ganglion size trait	UBERON:0001701	glossopharyngeal ganglion	PATO:0000117	size			
OBA:VT0001088	nodose ganglion size trait	UBERON:0005363	inferior vagus X ganglion	PATO:0000117	size			
OBA:VT0001095	trigeminal ganglion size trait	UBERON:0001675	trigeminal ganglion	PATO:0000117	size			
OBA:VT0001098	superior glossopharyngeal ganglion size trait	UBERON:0005361	superior glossopharyngeal IX ganglion	PATO:0000117	size			
OBA:VT0001102	superior vagus ganglion size trait	UBERON:0005364	superior vagus X ganglion	PATO:0000117	size			
OBA:VT0001107	Schwann cell quantity	CL:0000218	myelinating Schwann cell	PATO:0001555	has number of			
OBA:VT0001127	ovary size trait	UBERON:0000992	female gonad	PATO:0000117	size			
OBA:VT0001141	vaginal epithelium thickness	UBERON:0001344	epithelium of vagina	PATO:0000915	thickness			
OBA:VT0001143	vaginal opening size trait	UBERON:0012317	vagina orifice	PATO:0000117	size			
OBA:VT0001148	testes size trait	UBERON:0000473	testis	PATO:0000117	size			
OBA:VT0001150	scrotum size trait	UBERON:0001300	scrotum	PATO:0000117	size			
OBA:VT0001151	foreskin size trait	UBERON:0001332	prepuce of penis	PATO:0000117	size			
OBA:VT0001153	seminiferous tubule size trait	UBERON:0001343	seminiferous tubule of testis	PATO:0000117	size			
OBA:VT0001170	bulbourethral gland size trait	UBERON:0002366	bulbo-urethral gland	PATO:0000117	size			
OBA:VT0001179	alveolar septum thickness	UBERON:0004893	interalveolar septum	PATO:0000915	thickness			
OBA:VT0001183	respiratory alveoli size trait	UBERON:0002299	alveolus of lung	PATO:0000117	size			
OBA:VT0001200	skin thickness	UBERON:0000014	zone of skin	PATO:0000915	thickness			
OBA:VT0001219	epidermis thickness	UBERON:0001003	skin epidermis	PATO:0000915	thickness			
OBA:VT0001237	epidermis stratum spinosum cell size trait	CL:0000649	prickle cell	PATO:0000117	size			
OBA:VT0001238	epidermis stratum spinosum thickness	UBERON:0002026	stratum spinosum of epidermis	PATO:0000915	thickness			
OBA:VT0001242	epidermis stratum corneum thickness	UBERON:0002027	stratum corneum of epidermis	PATO:0000915	thickness			
OBA:VT0001245	dermis thickness	UBERON:0002067	dermis	PATO:0000915	thickness			
OBA:VT0001253	body height	UBERON:0000468	multicellular organism	PATO:0000119	height			
OBA:VT0001256	body length	UBERON:0000468	multicellular organism	PATO:0000122	length			
OBA:VT0001259	body mass	UBERON:0000468	multicellular organism	PATO:0000125	mass			
OBA:VT0001274	vibrissa shape trait	UBERON:0006378	strand of vibrissa hair	PATO:0000052	shape			
OBA:VT0001277	vibrissa organization trait	UBERON:0006378	strand of vibrissa hair	PATO:0000060	spatial pattern			
OBA:VT0001281	vibrissa length	UBERON:0006378	strand of vibrissa hair	PATO:0000122	length			
OBA:VT0001299	eye orientation trait	UBERON:0000019	camera-type eye	PATO:0000133	orientation			
OBA:VT0001305	lens size trait	UBERON:0000965	lens of camera-type eye	PATO:0000117	size			
