defined_class	defined_class_name	entity	entity_name	attribute	attribute_name
OBA:VT0000080	exoccipital bone morphology trait	UBERON:0001693	exoccipital bone	PATO:0000051	morphology
OBA:VT0000084	fontanelle morphology trait	UBERON:0002221	fontanelle	PATO:0000051	morphology
OBA:VT0000085	blood-cerebrospinal fluid barrier morphology trait	UBERON:0003210	blood-cerebrospinal fluid barrier	PATO:0000051	morphology
OBA:VT0000087	capillary morphology trait	UBERON:0001982	capillary	PATO:0000051	morphology
OBA:VT0000098	vomer bone morphology trait	UBERON:0002396	vomer	PATO:0000051	morphology
OBA:VT0000100	ethmoid bone morphology trait	UBERON:0001679	ethmoid bone	PATO:0000051	morphology
OBA:VT0000102	nasal bone morphology trait	UBERON:0001681	nasal bone	PATO:0000051	morphology
OBA:VT0000104	sphenoid bone morphology trait	UBERON:0001677	sphenoid bone	PATO:0000051	morphology
OBA:VT0000106	basisphenoid morphology trait	UBERON:0006428	basisphenoid bone	PATO:0000051	morphology
OBA:VT0000107	frontal bone morphology trait	UBERON:0000209	tetrapod frontal bone	PATO:0000051	morphology
OBA:VT0000109	parietal bone morphology trait	UBERON:0000210	tetrapod parietal bone	PATO:0000051	morphology
OBA:VT0000125	heart tube morphology trait	UBERON:0004141	heart tube	PATO:0000051	morphology
OBA:VT0000130	cancellous bone morphology trait	UBERON:0002483	trabecular bone tissue	PATO:0000051	morphology
OBA:VT0000131	long bone epiphysis morphology trait	UBERON:0001437	epiphysis	PATO:0000051	morphology
OBA:VT0000133	long bone metaphysis morphology trait	UBERON:0001438	metaphysis	PATO:0000051	morphology
OBA:VT0000135	outflow tract morphology trait	UBERON:0004145	outflow tract	PATO:0000051	morphology
OBA:VT0000136	microglial cell morphology trait	CL:0000129	microglial cell	PATO:0000051	morphology
OBA:VT0000137	vertebra morphology trait	UBERON:0002412	vertebra	PATO:0000051	morphology
OBA:VT0000139	transverse process morphology trait	UBERON:0003109	parapophysis	PATO:0000051	morphology
OBA:VT0000140	pedicle morphology trait	UBERON:0001078	pedicle of vertebra	PATO:0000051	morphology
OBA:VT0000141	vertebral body morphology trait	UBERON:0001075	bony vertebral centrum	PATO:0000051	morphology
OBA:VT0000149	scapula morphology trait	UBERON:0006849	scapula	PATO:0000051	morphology
OBA:VT0000150	rib morphology trait	UBERON:0002228	rib	PATO:0000051	morphology
OBA:VT0000152	proximal rib morphology trait	UBERON:0010388	proximal segment of rib	PATO:0000051	morphology
OBA:VT0000157	sternum morphology trait	UBERON:0000975	sternum	PATO:0000051	morphology
OBA:VT0000159	xiphoid process morphology trait	UBERON:0002207	xiphoid process	PATO:0000051	morphology
OBA:VT0000163	cartilage morphology trait	UBERON:0002418	cartilage tissue	PATO:0000051	morphology
OBA:VT0000165	hypertrophic chondrocyte zone morphology trait	UBERON:0006772	long bone epiphyseal plate hypertrophic zone	PATO:0000051	morphology
OBA:VT0000166	chondrocyte morphology trait	CL:0000138	chondrocyte	PATO:0000051	morphology
OBA:VT0000266	heart morphology trait	UBERON:0000948	heart	PATO:0000051	morphology
OBA:VT0000272	aorta morphology trait	UBERON:0000947	aorta	PATO:0000051	morphology
OBA:VT0000288	pericardium morphology trait	UBERON:0002407	pericardium	PATO:0000051	morphology
OBA:VT0000344	Cajal-Retzius cell morphology trait	CL:0000695	Cajal-Retzius cell	PATO:0000051	morphology
OBA:VT0000359	mast cell morphology trait	CL:0000097	mast cell	PATO:0000051	morphology
OBA:VT0000367	coat/hair morphology trait	UBERON:0001037	strand of hair	PATO:0000051	morphology
OBA:VT0000430	palatine process morphology trait	UBERON:0005871	palatine process of maxilla	PATO:0000051	morphology
OBA:VT0000431	palatine shelf morphology trait	UBERON:0005619	secondary palatal shelf	PATO:0000051	morphology
OBA:VT0000432	head morphology trait	UBERON:0000033	head	PATO:0000051	morphology
OBA:VT0000438	skull morphology trait	UBERON:0003129	skull	PATO:0000051	morphology
OBA:VT0000443	snout morphology trait	UBERON:0006333	snout	PATO:0000051	morphology
OBA:VT0000452	mouth morphology trait	UBERON:0000165	mouth	PATO:0000051	morphology
OBA:VT0000454	jaw morphology trait	UBERON:0001708	jaw skeleton	PATO:0000051	morphology
OBA:VT0000455	maxilla morphology trait	UBERON:0002397	maxilla	PATO:0000051	morphology
OBA:VT0000458	mandible morphology trait	UBERON:0001710	lower jaw region	PATO:0000051	morphology
OBA:VT0000462	gastrointestinal system morphology trait	UBERON:0001007	digestive system	PATO:0000051	morphology
OBA:VT0000467	esophagus morphology trait	UBERON:0001043	esophagus	PATO:0000051	morphology
OBA:VT0000468	esophageal epithelium morphology trait	UBERON:0001976	epithelium of esophagus	PATO:0000051	morphology
OBA:VT0000469	esophageal squamous epithelium morphology trait	UBERON:0006920	esophagus squamous epithelium	PATO:0000051	morphology
OBA:VT0000470	stomach morphology trait	UBERON:0000945	stomach	PATO:0000051	morphology
OBA:VT0000471	stomach epithelium morphology trait	UBERON:0001276	epithelium of stomach	PATO:0000051	morphology
OBA:VT0000472	stomach squamous epithelium morphology trait	UBERON:0006921	stomach squamous epithelium	PATO:0000051	morphology
OBA:VT0000473	stomach glandular epithelium morphology trait	UBERON:0006924	stomach glandular epithelium	PATO:0000051	morphology
OBA:VT0000474	foregut morphology trait	UBERON:0001041	foregut	PATO:0000051	morphology
OBA:VT0000477	intestine morphology trait	UBERON:0000160	intestine	PATO:0000051	morphology
OBA:VT0000479	intestinal cell morphology trait	CL:0000584	enterocyte	PATO:0000051	morphology
OBA:VT0000484	pulmonary artery morphology trait	UBERON:0002012	pulmonary artery	PATO:0000051	morphology
OBA:VT0000488	intestinal epithelium morphology trait	UBERON:0001277	intestinal epithelium	PATO:0000051	morphology
OBA:VT0000489	large intestine morphology trait	UBERON:0000059	large intestine	PATO:0000051	morphology
OBA:VT0000490	crypt of Lieberkuhn morphology trait	UBERON:0001983	crypt of Lieberkuhn	PATO:0000051	morphology
OBA:VT0000492	rectum morphology trait	UBERON:0001052	rectum	PATO:0000051	morphology
OBA:VT0000494	cecum morphology trait	UBERON:0001153	caecum	PATO:0000051	morphology
OBA:VT0000495	colon morphology trait	UBERON:0001155	colon	PATO:0000051	morphology
OBA:VT0000496	small intestine morphology trait	UBERON:0002108	small intestine	PATO:0000051	morphology
OBA:VT0000511	intestinal mucosa morphology trait	UBERON:0001242	intestinal mucosa	PATO:0000051	morphology
OBA:VT0000516	urinary system morphology trait	UBERON:0001008	renal system	PATO:0000051	morphology
OBA:VT0000521	kidney cortex morphology trait	UBERON:0001225	cortex of kidney	PATO:0000051	morphology
OBA:VT0000530	kidney blood vessel morphology trait	UBERON:0003517	kidney blood vessel	PATO:0000051	morphology
OBA:VT0000534	ureter morphology trait	UBERON:0000056	ureter	PATO:0000051	morphology
OBA:VT0000537	urethra morphology trait	UBERON:0000057	urethra	PATO:0000051	morphology
OBA:VT0000538	urinary bladder morphology trait	UBERON:0001255	urinary bladder	PATO:0000051	morphology
OBA:VT0000541	urinary bladder transitional epithelium morphology trait	UBERON:0004645	urinary bladder urothelium	PATO:0000051	morphology
OBA:VT0000550	forelimb morphology trait	UBERON:0002102	forelimb	PATO:0000051	morphology
OBA:VT0000552	radius morphology trait	UBERON:0001423	radius bone	PATO:0000051	morphology
OBA:VT0000554	carpus morphology trait	UBERON:0004452	carpal region	PATO:0000051	morphology
OBA:VT0000556	hindlimb morphology trait	UBERON:0002103	hindlimb	PATO:0000051	morphology
OBA:VT0000558	tibia morphology trait	UBERON:0000979	tibia	PATO:0000051	morphology
OBA:VT0000559	femur morphology trait	UBERON:0000981	femur	PATO:0000051	morphology
OBA:VT0000572	autopod morphology trait	UBERON:0002470	autopod region	PATO:0000051	morphology
OBA:VT0000574	foot pad morphology trait	UBERON:0008838	metapodial pad	PATO:0000051	morphology
OBA:VT0000579	nail morphology trait	UBERON:0001705	nail	PATO:0000051	morphology
OBA:VT0000598	liver morphology trait	UBERON:0002107	liver	PATO:0000051	morphology
OBA:VT0000607	hepatocyte morphology trait	CL:0000182	hepatocyte	PATO:0000051	morphology
OBA:VT0000613	salivary gland morphology trait	UBERON:0001044	saliva-secreting gland	PATO:0000051	morphology
OBA:VT0000615	palatine gland morphology trait	UBERON:0002447	palatine gland	PATO:0000051	morphology
OBA:VT0000620	salivary duct morphology trait	UBERON:0001837	duct of salivary gland	PATO:0000051	morphology
OBA:VT0000627	mammary gland morphology trait	UBERON:0001911	mammary gland	PATO:0000051	morphology
OBA:VT0000631	neuroendocrine gland morphology trait	UBERON:0010133	neuroendocrine gland	PATO:0000051	morphology
OBA:VT0000632	pineal gland morphology trait	UBERON:0001905	pineal body	PATO:0000051	morphology
OBA:VT0000633	pituitary gland morphology trait	UBERON:0000007	pituitary gland	PATO:0000051	morphology
OBA:VT0000639	adrenal gland morphology trait	UBERON:0002369	adrenal gland	PATO:0000051	morphology
OBA:VT0000643	adrenal central medulla morphology trait	UBERON:0001236	adrenal medulla	PATO:0000051	morphology
OBA:VT0000646	adrenocortical cell morphology trait	CL:0002097	cortical cell of adrenal gland	PATO:0000051	morphology
OBA:VT0000647	sebaceous gland morphology trait	UBERON:0001821	sebaceous gland	PATO:0000051	morphology
OBA:VT0000653	sex gland morphology trait	UBERON:0003937	sex gland	PATO:0000051	morphology
OBA:VT0000674	sweat gland morphology trait	UBERON:0001820	sweat gland	PATO:0000051	morphology
OBA:VT0000678	parathyroid gland morphology trait	UBERON:0001132	parathyroid gland	PATO:0000051	morphology
OBA:VT0000681	thyroid gland morphology trait	UBERON:0002046	thyroid gland	PATO:0000051	morphology
OBA:VT0000685	immune system morphology trait	UBERON:0002405	immune system	PATO:0000051	morphology
OBA:VT0000696	Peyer's patch morphology trait	UBERON:0001211	Peyer's patch	PATO:0000051	morphology
OBA:VT0000759	skeletal muscle morphology trait	UBERON:0001134	skeletal muscle tissue	PATO:0000051	morphology
OBA:VT0000762	tongue morphology trait	UBERON:0001723	tongue	PATO:0000051	morphology
OBA:VT0000763	filiform papillae morphology trait	UBERON:0002467	filiform papilla	PATO:0000051	morphology
OBA:VT0000764	tongue epithelium morphology trait	UBERON:0003357	epithelium of tongue	PATO:0000051	morphology
OBA:VT0000765	tongue squamous epithelium morphology trait	UBERON:0006919	tongue squamous epithelium	PATO:0000051	morphology
OBA:VT0000767	smooth muscle morphology trait	UBERON:0001135	smooth muscle tissue	PATO:0000051	morphology
OBA:VT0000768	common crus morphology trait	UBERON:0013764	common crus of semicircular duct	PATO:0000051	morphology
OBA:VT0000776	inferior colliculus morphology trait	UBERON:0001946	inferior colliculus	PATO:0000051	morphology
OBA:VT0000778	nervous system tract morphology trait	UBERON:0001018	axon tract	PATO:0000051	morphology
OBA:VT0000779	cochlea basement membrane morphology trait	UBERON:0011922	cochlear basement membrane	PATO:0000051	morphology
OBA:VT0000780	corpus callosum morphology trait	UBERON:0002336	corpus callosum	PATO:0000051	morphology
OBA:VT0000783	forebrain morphology trait	UBERON:0001890	forebrain	PATO:0000051	morphology
OBA:VT0000787	telencephalon morphology trait	UBERON:0014371	future telencephalon	PATO:0000051	morphology
OBA:VT0000788	cerebral cortex morphology trait	UBERON:0000956	cerebral cortex	PATO:0000051	morphology
OBA:VT0000791	cerebral cortex layer morphology trait	UBERON:0002301	layer of neocortex	PATO:0000051	morphology
OBA:VT0000792	cortical marginal zone morphology trait	UBERON:0010403	brain marginal zone	PATO:0000051	morphology
OBA:VT0000794	parietal lobe morphology trait	UBERON:0001872	parietal lobe	PATO:0000051	morphology
OBA:VT0000795	postcentral gyrus morphology trait	UBERON:0002581	postcentral gyrus	PATO:0000051	morphology
OBA:VT0000796	sensory dissociation area morphology trait	UBERON:0003938	sensory dissociation area	PATO:0000051	morphology
OBA:VT0000797	supramarginal gyrus morphology trait	UBERON:0002688	supramarginal gyrus	PATO:0000051	morphology
OBA:VT0000798	frontal lobe morphology trait	UBERON:0001870	frontal cortex	PATO:0000051	morphology
OBA:VT0000799	precentral gyrus morphology trait	UBERON:0002703	precentral gyrus	PATO:0000051	morphology
OBA:VT0000800	prefrontal gyrus morphology trait	UBERON:0001384	primary motor cortex	PATO:0000051	morphology
OBA:VT0000801	temporal lobe morphology trait	UBERON:0001871	temporal lobe	PATO:0000051	morphology
OBA:VT0000802	superior temporal gyrus morphology trait	UBERON:0002769	superior temporal gyrus	PATO:0000051	morphology
OBA:VT0000803	transverse gyrus of Heschl morphology trait	UBERON:0003939	transverse gyrus of Heschl	PATO:0000051	morphology
OBA:VT0000804	occipital lobe morphology trait	UBERON:0002021	occipital lobe	PATO:0000051	morphology
OBA:VT0000805	visual cortex morphology trait	UBERON:0002436	primary visual cortex	PATO:0000051	morphology
OBA:VT0000807	hippocampus morphology trait	UBERON:0002421	hippocampal formation	PATO:0000051	morphology
OBA:VT0000812	dentate gyrus morphology trait	UBERON:0001885	dentate gyrus of hippocampal formation	PATO:0000051	morphology
OBA:VT0000813	hippocampus layer morphology trait	UBERON:0002305	layer of hippocampus	PATO:0000051	morphology
OBA:VT0000815	Ammon gyrus morphology trait	UBERON:0001954	Ammon's horn	PATO:0000051	morphology
OBA:VT0000818	amygdala morphology trait	UBERON:0001876	amygdala	PATO:0000051	morphology
OBA:VT0000819	olfactory bulb morphology trait	UBERON:0002264	olfactory bulb	PATO:0000051	morphology
OBA:VT0000820	choroid plexus morphology trait	UBERON:0001886	choroid plexus	PATO:0000051	morphology
OBA:VT0000822	brain ventricle morphology trait	UBERON:0004086	brain ventricle	PATO:0000051	morphology
OBA:VT0000823	lateral ventricle morphology trait	UBERON:0002285	telencephalic ventricle	PATO:0000051	morphology
OBA:VT0000826	third ventricle morphology trait	UBERON:0002286	third ventricle	PATO:0000051	morphology
OBA:VT0000828	fourth ventricle morphology trait	UBERON:0002422	fourth ventricle	PATO:0000051	morphology
OBA:VT0000830	diencephalon morphology trait	UBERON:0001894	diencephalon	PATO:0000051	morphology
OBA:VT0000832	thalamus morphology trait	UBERON:0001897	dorsal plus ventral thalamus	PATO:0000051	morphology
OBA:VT0000834	subthalamus morphology trait	UBERON:0001900	ventral thalamus	PATO:0000051	morphology
OBA:VT0000835	subthalamic nucleus morphology trait	UBERON:0001906	subthalamic nucleus	PATO:0000051	morphology
OBA:VT0000836	substantia nigra morphology trait	UBERON:0002038	substantia nigra	PATO:0000051	morphology
OBA:VT0000837	hypothalamus morphology trait	UBERON:0001898	hypothalamus	PATO:0000051	morphology
OBA:VT0000840	epithalamus morphology trait	UBERON:0001899	epithalamus	PATO:0000051	morphology
OBA:VT0000841	hindbrain morphology trait	UBERON:0002028	hindbrain	PATO:0000051	morphology
OBA:VT0000842	superior olivary complex morphology trait	UBERON:0002128	superior olivary complex	PATO:0000051	morphology
OBA:VT0000844	pontine flexure morphology trait	UBERON:0005820	pontine flexure	PATO:0000051	morphology
OBA:VT0000846	medulla oblongata morphology trait	UBERON:0001896	medulla oblongata	PATO:0000051	morphology
OBA:VT0000847	metencephalon morphology trait	UBERON:0001895	metencephalon	PATO:0000051	morphology
OBA:VT0000848	pons morphology trait	UBERON:0000988	pons	PATO:0000051	morphology
OBA:VT0000849	cerebellum morphology trait	UBERON:0002037	cerebellum	PATO:0000051	morphology
OBA:VT0000856	cerebellum plate morphology trait	UBERON:0004008	cerebellar plate	PATO:0000051	morphology
OBA:VT0000859	somatosensory cortex morphology trait	UBERON:0008930	somatosensory cortex	PATO:0000051	morphology
OBA:VT0000860	primary somatosensory cortex morphology trait	UBERON:0008933	primary somatosensory cortex	PATO:0000051	morphology
OBA:VT0000863	secondary somatosensory cortex morphology trait	UBERON:0008934	secondary somatosensory cortex	PATO:0000051	morphology
OBA:VT0000864	cerebellum vermis morphology trait	UBERON:0004720	cerebellar vermis	PATO:0000051	morphology
OBA:VT0000867	cerebellum anterior vermis morphology trait	UBERON:0003941	cerebellum anterior vermis	PATO:0000051	morphology
OBA:VT0000869	cerebellum posterior vermis morphology trait	UBERON:0004009	cerebellum posterior vermis	PATO:0000051	morphology
OBA:VT0000870	cerebellum vermis lobule VIII morphology trait	UBERON:0004082	cerebellum vermis lobule VIII	PATO:0000051	morphology
OBA:VT0000871	cerebellum vermis lobule IX morphology trait	UBERON:0004078	cerebellum vermis lobule IX	PATO:0000051	morphology
OBA:VT0000872	external granule cell layer morphology trait	UBERON:0008829	cerebellum external granule cell layer	PATO:0000051	morphology
OBA:VT0000875	cerebellar Purkinje cell layer morphology trait	UBERON:0002979	Purkinje cell layer of cerebellar cortex	PATO:0000051	morphology
OBA:VT0000877	Purkinje cell morphology trait	CL:0000121	Purkinje cell	PATO:0000051	morphology
OBA:VT0000886	cerebellar granule layer morphology trait	UBERON:0002956	granular layer of cerebellar cortex	PATO:0000051	morphology
OBA:VT0000889	cerebellar molecular layer morphology trait	UBERON:0002974	molecular layer of cerebellar cortex	PATO:0000051	morphology
OBA:VT0000897	midbrain morphology trait	UBERON:0001891	midbrain	PATO:0000051	morphology
OBA:VT0000899	corpora quadrigemina morphology trait	UBERON:0002259	corpora quadrigemina	PATO:0000051	morphology
OBA:VT0000904	superior colliculus morphology trait	UBERON:0001945	superior colliculus	PATO:0000051	morphology
OBA:VT0000906	trigeminal V mesencephalic nucleus morphology trait	UBERON:0001718	mesencephalic nucleus of trigeminal nerve	PATO:0000051	morphology
OBA:VT0000909	facial motor nucleus morphology trait	UBERON:0003011	facial motor nucleus	PATO:0000051	morphology
OBA:VT0000911	trigeminal motor nucleus morphology trait	UBERON:0002633	motor nucleus of trigeminal nerve	PATO:0000051	morphology
OBA:VT0000923	roof plate morphology trait	UBERON:0003054	roof plate	PATO:0000051	morphology
OBA:VT0000925	floor plate morphology trait	UBERON:0003079	floor plate	PATO:0000051	morphology
OBA:VT0000933	rhombomere morphology trait	UBERON:0001892	rhombomere	PATO:0000051	morphology
OBA:VT0000937	motor neuron morphology trait	CL:0000100	motor neuron	PATO:0000051	morphology
OBA:VT0000953	oligodendrocyte morphology trait	CL:0000128	oligodendrocyte	PATO:0000051	morphology
OBA:VT0000955	spinal cord morphology trait	UBERON:0002240	spinal cord	PATO:0000051	morphology
OBA:VT0000959	somatic sensory system morphology trait	UBERON:0003942	somatic sensory system	PATO:0000051	morphology
OBA:VT0000960	sensory ganglion morphology trait	UBERON:0001800	sensory ganglion	PATO:0000051	morphology
OBA:VT0000961	dorsal root ganglion morphology trait	UBERON:0000044	dorsal root ganglion	PATO:0000051	morphology
OBA:VT0000965	sensory neuron morphology trait	CL:0000101	sensory neuron	PATO:0000051	morphology
OBA:VT0000969	nociceptor morphology trait	CL:0000198	pain receptor cell	PATO:0000051	morphology
OBA:VT0000972	mechanoreceptor morphology trait	UBERON:0012449	mechanoreceptor	PATO:0000051	morphology
OBA:VT0000982	Meissner's corpuscle morphology trait	UBERON:0012450	Meissner's corpuscle	PATO:0000051	morphology
OBA:VT0000985	Merkel's receptor morphology trait	UBERON:0012456	Merkel nerve ending	PATO:0000051	morphology
OBA:VT0000988	Pacinian corpuscle morphology trait	UBERON:0003719	Pacinian corpuscle	PATO:0000051	morphology
OBA:VT0000989	Ruffini's corpuscle morphology trait	UBERON:0012457	Ruffini nerve ending	PATO:0000051	morphology
OBA:VT0000991	primary muscle spindle morphology trait	UBERON:0004010	primary muscle spindle	PATO:0000051	morphology
OBA:VT0000994	secondary muscle spindle morphology trait	UBERON:0004011	secondary muscle spindle	PATO:0000051	morphology
OBA:VT0000997	joint capsule morphology trait	UBERON:0001484	articular capsule	PATO:0000051	morphology
OBA:VT0000999	Golgi tendon organ morphology trait	UBERON:0004012	golgi tendon organ	PATO:0000051	morphology
OBA:VT0001002	taste bud morphology trait	UBERON:0001727	taste bud	PATO:0000051	morphology
OBA:VT0001005	retinal rod cell morphology trait	CL:0000604	retinal rod cell	PATO:0000051	morphology
OBA:VT0001006	retinal cone cell morphology trait	CL:0000573	retinal cone cell	PATO:0000051	morphology
OBA:VT0001007	sympathetic nervous system morphology trait	UBERON:0000013	sympathetic nervous system	PATO:0000051	morphology
OBA:VT0001008	sympathetic ganglion morphology trait	UBERON:0001806	sympathetic ganglion	PATO:0000051	morphology
OBA:VT0001011	superior cervical ganglion morphology trait	UBERON:0001989	superior cervical ganglion	PATO:0000051	morphology
OBA:VT0001016	middle cervical ganglion morphology trait	UBERON:0001990	middle cervical ganglion	PATO:0000051	morphology
OBA:VT0001017	stellate ganglion morphology trait	UBERON:0002441	cervicothoracic ganglion	PATO:0000051	morphology
OBA:VT0001019	L4 dorsal root ganglion morphology trait	UBERON:0003943	fourth lumbar dorsal root ganglion	PATO:0000051	morphology
OBA:VT0001022	L5 dorsal root ganglion morphology trait	UBERON:0002859	fifth lumbar dorsal root ganglion	PATO:0000051	morphology
OBA:VT0001026	adrenergic neuron morphology trait	CL:0000109	adrenergic neuron	PATO:0000051	morphology
OBA:VT0001032	peptidergic neuron morphology trait	CL:0000110	peptidergic neuron	PATO:0000051	morphology
OBA:VT0001033	parasympathetic nervous system morphology trait	UBERON:0000011	parasympathetic nervous system	PATO:0000051	morphology
OBA:VT0001034	parasympathetic ganglion morphology trait	UBERON:0001808	parasympathetic ganglion	PATO:0000051	morphology
OBA:VT0001035	submandibular ganglion morphology trait	UBERON:0002059	submandibular ganglion	PATO:0000051	morphology
OBA:VT0001038	cholinergic neuron morphology trait	CL:0000108	cholinergic neuron	PATO:0000051	morphology
OBA:VT0001044	enteric nervous system morphology trait	UBERON:0002005	enteric nervous system	PATO:0000051	morphology
OBA:VT0001045	enteric ganglion morphology trait	UBERON:0001809	enteric ganglion	PATO:0000051	morphology
OBA:VT0001046	enteric neuron morphology trait	CL:0007011	enteric neuron	PATO:0000051	morphology
OBA:VT0001051	somatic motor system morphology trait	UBERON:0003945	somatic motor system	PATO:0000051	morphology
OBA:VT0001053	neuromuscular synapse morphology trait	GO:0031594	neuromuscular junction	PATO:0000051	morphology
OBA:VT0001056	cranial nerve morphology trait	UBERON:0001785	cranial nerve	PATO:0000051	morphology
OBA:VT0001061	oculomotor nerve morphology trait	UBERON:0001643	oculomotor nerve	PATO:0000051	morphology
OBA:VT0001063	trochlear nerve morphology trait	UBERON:0001644	trochlear nerve	PATO:0000051	morphology
OBA:VT0001065	trigeminal nerve morphology trait	UBERON:0001645	trigeminal nerve	PATO:0000051	morphology
OBA:VT0001067	mandibular nerve morphology trait	UBERON:0000375	mandibular nerve	PATO:0000051	morphology
OBA:VT0001070	abducens nerve morphology trait	UBERON:0001646	abducens nerve	PATO:0000051	morphology
OBA:VT0001071	facial nerve morphology trait	UBERON:0001647	facial nerve	PATO:0000051	morphology
OBA:VT0001072	vestibulocochlear nerve morphology trait	UBERON:0001648	vestibulocochlear nerve	PATO:0000051	morphology
OBA:VT0001073	glossopharyngeal nerve morphology trait	UBERON:0001649	glossopharyngeal nerve	PATO:0000051	morphology
OBA:VT0001074	vagus nerve morphology trait	UBERON:0001759	vagus nerve	PATO:0000051	morphology
