iri,iri label,attribute,attribute label,entity,entity label
OBA:0000112,myofibril number,PATO:0000070,amount,GO:0030016,myofibril
OBA:0000113,myofibril size,PATO:0000117,size,GO:0030016,myofibril
OBA:0000116,neurotransmitter levels,PATO:0000070,amount,GOCHE:25512,neurotransmitter
OBA:0000117,nuclear size,PATO:0000117,size,GO:0005634,nucleus
OBA:0000119,nucleosome density,PATO:0000070,amount,GO:0000786,nucleosome
OBA:0000120,osmotic pressure,PATO:0000070,amount,CHEBI:15377,water
OBA:0000122,peroxisome size,PATO:0000117,size,GO:0005777,peroxisome
OBA:0000124,post-lysosomal vacuole size,PATO:0000117,size,GO:0032195,post-lysosomal vacuole
OBA:0000126,potassium ion concentration,PATO:0000033,concentration of,CHEBI:29103,potassium(1+)
OBA:0000127,pronephric kidney size,PATO:0000117,size,UBERON:0002120,pronephros
OBA:0000138,spindle density,PATO:0000070,amount,GO:0005819,spindle
OBA:0000160,thalamus size,PATO:0000117,size,UBERON:0001897,dorsal plus ventral thalamus
OBA:0000161,force of heart contraction,PATO:0001035,force,GO:0060047,heart contraction
OBA:0000164,velocity of shortening of skeletal muscle modulating contraction,PATO:0000008,speed,GO:0003009,skeletal muscle contraction
OBA:0000166,tracheal tube diameter,PATO:0001334,diameter,UBERON:0000117,respiratory tube
OBA:0000167,tracheal tube length,PATO:0000122,length,UBERON:0000117,respiratory tube
OBA:0000168,tracheal tube size,PATO:0000117,size,UBERON:0000117,respiratory tube
OBA:0000169,translational accuracy,PATO:0001509,functionality,GO:0006412,translation
OBA:0000171,tube diameter,PATO:0001334,diameter,UBERON:0000025,tube
OBA:0000172,tube size,PATO:0000117,size,UBERON:0000025,tube
OBA:0000173,urinary volume,PATO:0000918,volume,UBERON:0001088,urine
OBA:0000174,vascular permeability,PATO:0000970,permeability,UBERON:0000055,vessel
OBA:0000182,nutrient level,PATO:0000070,amount,CHEBI:33284,nutrient
OBA:1000001,blood brain barrier permeability,PATO:0000970,permeability,UBERON:0000120,blood brain barrier
OBA:1000002,intermammary line length,PATO:0000122,length,UBERON:0013771,line connecting laterally paired nipples
OBA:1000003,inter-canthal distance,PATO:0000122,length,UBERON:0013678,anatomical line between inner canthi
OBA:1000004,distance between ears,PATO:0000122,length,UBERON:0010231,anatomical line between outer ears
OBA:1000005,inter-pupillar distance,PATO:0000122,length,UBERON:0010222,anatomical line between pupils
OBA:1000006,cilium length,PATO:0000122,length,GO:0005929,cilium
OBA:1000007,dendrite length,PATO:0000122,length,GO:0030425,dendrite
OBA:1000008,microtubule length,PATO:0000122,length,GO:0005874,microtubule
OBA:1000009,mitochondrial nucleoid size,PATO:0000117,size,GO:0042645,mitochondrial nucleoid
OBA:1000010,spindle length,PATO:0000122,length,GO:0005819,spindle
OBA:1000011,Golgi apparatus morphology,PATO:0000051,morphology,GO:0005794,Golgi apparatus
OBA:1000012,germ tube septin ring length,PATO:0000122,length,GO:0032172,germ tube septin ring
OBA:1000013,cytoskeleton morphology,PATO:0000051,morphology,GO:0005856,cytoskeleton
OBA:1000014,endomembrane system morphology,PATO:0000051,morphology,GO:0012505,endomembrane system
OBA:1000015,lipid particle morphology,PATO:0000051,morphology,GO:0005811,lipid particle
OBA:1000016,mating projection morphology,PATO:0000051,morphology,GO:0005937,mating projection
OBA:1000017,mating projection tip length,PATO:0000122,length,GO:0043332,mating projection tip
OBA:1000018,nucleus shape,PATO:0000052,shape,GO:0005634,nucleus
OBA:1000019,nucleus morphology,PATO:0000051,morphology,GO:0005634,nucleus
OBA:1000021,cotyledon size,PATO:0000117,size,PO:0020030,cotyledon
OBA:1000023,subcutaneous adipose tissue quality,PATO:0000001,quality,UBERON:0002190,subcutaneous adipose tissue
OBA:1000024,subcutaneous adipose tissue proportionality to,PATO:0001470,proportionality to,UBERON:0002190,subcutaneous adipose tissue
OBA:1000025,breast size,PATO:0000117,size,UBERON:0000310,breast
OBA:1000026,intervertebral disk of lumbar vertebra morphology,PATO:0000051,morphology,UBERON:0007255,intervertebral disk of lumbar vertebra
OBA:1000027,thyroid gland volume,PATO:0000918,volume,UBERON:0002046,thyroid gland
OBA:1000028,membrane permeability,PATO:0000970,permeability,GO:0016020,membrane
OBA:1000029,cerebellum shape,PATO:0000052,shape,UBERON:0002037,cerebellum
OBA:1000030,upper arm circumference,PATO:0001648,circumference,UBERON:0003822,forelimb stylopod
OBA:1000031,neck circumference,PATO:0001648,circumference,UBERON:0000974,neck
OBA:1000032,hip circumference,PATO:0001648,circumference,UBERON:0001464,hip
OBA:1000033,upper leg circumference,PATO:0001648,circumference,UBERON:0000376,hindlimb stylopod
OBA:1000034,cell surface area,PATO:0001323,area,GO:0009986,cell surface
OBA:1000035,lens of camera-type eye opacity,PATO:0000957,opacity,UBERON:0000965,lens of camera-type eye
OBA:1000036,cell mass,PATO:0000125,mass,GO:0005623,cell
OBA:1000037,adult organism mass,PATO:0000125,mass,UBERON:0007023,adult organism
OBA:1000038,mollusc shell height,PATO:0000119,height,UBERON:0008270,mollusc shell
OBA:1000039,mollusc shell length,PATO:0000122,length,UBERON:0008270,mollusc shell
OBA:1000040,secondary xylem volumetric density,PATO:0001353,volumetric density,PO:0005848,secondary xylem
OBA:1000041,cotyledonary node color,PATO:0000014,color,PO:0025321,cotyledonary node
OBA:1000042,scutellar node color,PATO:0000014,color,PO:0004708,scutellar node
OBA:1000043,shoot node color,PATO:0000014,color,PO:0005004,shoot axis node
OBA:1000045,iris color,PATO:0000014,color,UBERON:0001769,iris
OBA:1000046,philtrum length,PATO:0000122,length,UBERON:0005402,philtrum
OBA:1000047,palpebral fissure length,PATO:0000122,length,UBERON:0001819,palpebral fissure
OBA:1000048,manus length,PATO:0000122,length,UBERON:0002398,manus
OBA:1000049,pes length,PATO:0000122,length,UBERON:0002387,pes
OBA:1000050,palmar part of manus length,PATO:0000122,length,UBERON:0008878,palmar part of manus
OBA:1000051,mollusc shell quality,PATO:0000001,quality,UBERON:0008270,mollusc shell
OBA:1000052,columnella quality,PATO:0000001,quality,UBERON:0008283,columnella
OBA:1000053,albumen gland quality,PATO:0000001,quality,UBERON:0008935,gastropod albumen gland
OBA:1000054,headfoot quality,PATO:0000001,quality,UBERON:0008943,headfoot
OBA:1000055,osphradium quality,PATO:0000001,quality,UBERON:0007770,osphradium
OBA:1000056,nacre quality,PATO:0000001,quality,UBERON:0008269,nacre
OBA:1000057,gland quality,PATO:0000001,quality,UBERON:0002530,gland
OBA:1000058,visceral hump quality,PATO:0000001,quality,UBERON:0008937,visceral hump
OBA:1000059,parapodium quality,PATO:0000001,quality,UBERON:0009473,parapodium
OBA:1000060,prostomium quality,PATO:0000001,quality,UBERON:0008834,prostomium
OBA:1000061,vestimentum muscle quality,PATO:0000001,quality,UBERON:0012642,vestimentum muscle
OBA:1000062,trophosome quality,PATO:0000001,quality,UBERON:0012644,trophosome
OBA:1000063,opisthosome quality,PATO:0000001,quality,UBERON:0012645,opisthosome
OBA:1000064,dermal bone quality,PATO:0000001,quality,UBERON:0008907,dermal bone
OBA:1000065,dermal bone morphology,PATO:0000051,morphology,UBERON:0008907,dermal bone
OBA:1000066,endochondral bone morphology,PATO:0000051,morphology,UBERON:0002513,endochondral bone
OBA:1000067,endochondral bone quality,PATO:0000001,quality,UBERON:0002513,endochondral bone
OBA:1000068,epiplastron size,PATO:0000117,size,UBERON:0011658,epiplastron
OBA:1000069,epiplastron mass,PATO:0000125,mass,UBERON:0011658,epiplastron
OBA:1000070,xiphiplastron size,PATO:0000117,size,UBERON:0011661,xiphiplastron
OBA:1000071,coat color,PATO:0000014,color,UBERON:0010166,coat of hair
OBA:1000072,coat color pattern,PATO:0000019,color pattern,UBERON:0010166,coat of hair
OBA:1000073,coat spatial pattern,PATO:0000060,spatial pattern,UBERON:0010166,coat of hair
OBA:1000074,antenna size,PATO:0000117,size,UBERON:0000972,antenna
OBA:1000075,cytosol color,PATO:0000014,color,GO:0005829,cytosol
OBA:1000076,attribute of cell,PATO:0000001,quality,GO:0005623,cell
OBA:1000077,attribute of cytosol,PATO:0000001,quality,GO:0005829,cytosol
OBA:1000078,attribute of organelle,PATO:0000001,quality,GO:0043226,organelle
OBA:1000079,muscle organ strength,PATO:0001230,strength,UBERON:0001630,muscle organ
OBA:1000080,skeletal muscle organ strength,PATO:0001230,strength,UBERON:0014892,skeletal muscle organ
OBA:1000081,forelimb muscle strength,PATO:0001230,strength,UBERON:0003662,forelimb muscle
OBA:1000082,hindlimb muscle strength,PATO:0001230,strength,UBERON:0003663,hindlimb muscle
OBA:1000083,nucleus length,PATO:0000122,length,GO:0005634,nucleus
OBA:1000084,cell surface texture,PATO:0000150,texture,GO:0009986,cell surface
OBA:1000085,nucleus width,PATO:0000921,width,GO:0005634,nucleus
OBA:1000086,cell surface quality,PATO:0000001,quality,GO:0009986,cell surface
OBA:1000087,cell surface morphology,PATO:0000051,morphology,GO:0009986,cell surface
OBA:1000088,plasma membrane quality,PATO:0000001,quality,GO:0005886,plasma membrane
OBA:1000089,plasma membrane morphology,PATO:0000051,morphology,GO:0005886,plasma membrane
OBA:1000090,membrane quality,PATO:0000001,quality,GO:0016020,membrane
OBA:1000091,membrane morphology,PATO:0000051,morphology,GO:0016020,membrane
OBA:1000092,dinoflagellate cingulum shape,PATO:0000052,shape,GO:0097611,dinoflagellate cingulum
OBA:1000093,dinoflagellate sulcus shape,PATO:0000052,shape,GO:0097612,dinoflagellate sulcus
OBA:1000094,chloroplast shape,PATO:0000052,shape,GO:0009507,chloroplast
OBA:1000095,chloroplast spatial pattern,PATO:0000060,spatial pattern,GO:0009507,chloroplast
OBA:1000096,chloroplast color,PATO:0000014,color,GO:0009507,chloroplast
OBA:1000097,chloroplast size,PATO:0000117,size,GO:0009507,chloroplast
OBA:1000098,dinoflagellate sulcus width,PATO:0000921,width,GO:0097612,dinoflagellate sulcus
OBA:1000099,appendage trait,PATO:0000001,quality,UBERON:0000026,appendage
OBA:1000100,paired fin trait,PATO:0000001,quality,UBERON:0002534,paired fin
OBA:1000101,axial skeleton plus cranial skeleton length,PATO:0000122,length,UBERON:0005944,axial skeleton plus cranial skeleton
OBA:1000102,vertebral column length,PATO:0000122,length,UBERON:0001130,vertebral column
OBA:1000103,cervical region of vertebral column length,PATO:0000122,length,UBERON:0006072,cervical region of vertebral column
OBA:1000104,subdivision of vertebral column length,PATO:0000122,length,UBERON:0006077,subdivision of vertebral column
OBA:1000105,tissue composition,PATO:0000025,composition,UBERON:0000479,tissue
OBA:1000106,skeletal tissue composition,PATO:0000025,composition,UBERON:0004755,skeletal tissue
OBA:1000107,testis position,PATO:0000140,position,UBERON:0000473,testis
OBA:1000108,hoof trait,PATO:0000001,quality,UBERON:0008963,hoof
OBA:1000109,anatomical pigmentation,PATO:0002247,degree of pigmentation,UBERON:0000061,anatomical structure
OBA:1000110,bone density,PATO:0001019,mass density,UBERON:0002481,bone tissue
OBA:1000111,adrenal gland size,PATO:0000117,size,UBERON:0002369,adrenal gland
OBA:1000112,tooth size,PATO:0000117,size,UBERON:0001091,calcareous tooth
OBA:1000113,incisor size,PATO:0000117,size,UBERON:0001098,incisor tooth
OBA:1000114,axon terminus orientation,PATO:0000133,orientation,GO:0043679,axon terminus
OBA:1000115,axon length,PATO:0000122,length,GO:0030424,axon
OBA:1000116,axon located in,PATO:0002261,located in,GO:0030424,axon
OBA:1000117,axon shape,PATO:0000052,shape,GO:0030424,axon
OBA:1000118,dendrite count,PATO:0000070,amount,GO:0030425,dendrite
OBA:1000119,dendrite thickness,PATO:0000915,thickness,GO:0030425,dendrite
OBA:1000120,axon orientation,PATO:0000133,orientation,GO:0030424,axon
OBA:1000121,dendrite orientation,PATO:0000133,orientation,GO:0030425,dendrite
OBA:1000122,dendrite shape,PATO:0000052,shape,GO:0030425,dendrite
OBA:1000123,dendrite size,PATO:0000117,size,GO:0030425,dendrite
OBA:1000124,blue iris,PATO:0000318,blue,UBERON:0001769,iris
OBA:1000125,brown strand of hair,PATO:0000952,brown,UBERON:0001037,strand of hair
OBA:1000126,dinoflagellate epicone length,PATO:0000122,length,GO:0097613,dinoflagellate epicone
OBA:1000127,dinoflagellate hypocone length,PATO:0000122,length,GO:0097614,dinoflagellate hypocone
OBA:1000128,eyespot apparatus color,PATO:0000014,color,GO:1990413,eyespot apparatus
OBA:1000129,cell color,PATO:0000014,color,GO:0005623,cell
OBA:1000130,nucleus diameter,PATO:0001334,diameter,GO:0005634,nucleus
OBA:1000131,eyespot apparatus located in,PATO:0002261,located in,GO:1990413,eyespot apparatus
OBA:1000132,dinoflagellate sulcal notch shape,PATO:0000052,shape,GO:0097618,dinoflagellate sulcal notch
OBA:1000133,dinoflagellate apex shape,PATO:0000052,shape,GO:0097683,dinoflagellate apex
OBA:1000134,dinoflagellate antapex shape,PATO:0000052,shape,GO:0097684,dinoflagellate antapex
OBA:1000135,dinoflagellate apical horn shape,PATO:0000052,shape,GO:0097686,dinoflagellate apical horn
OBA:1000136,dinoflagellate antapical horn shape,PATO:0000052,shape,GO:0097687,dinoflagellate antapical horn
OBA:1000137,endolymph volume,PATO:0000918,volume,UBERON:0001852,endolymph
OBA:1000138,bone element size,PATO:0000117,size,UBERON:0001474,bone element
OBA:1000139,skeletal joint flexibility,PATO:0001543,flexibility,UBERON:0000982,skeletal joint
OBA:1000140,epipubic bone size,PATO:0000117,size,UBERON:0013204,epipubic bone
OBA:1000141,epipubic bone mass density,PATO:0001019,mass density,UBERON:0013204,epipubic bone
OBA:1000142,vesicle size,PATO:0000117,size,GO:0031982,vesicle
OBA:1000143,lymphatic vessel size,PATO:0000117,size,UBERON:0001473,lymphatic vessel
OBA:1000144,lymphatic vessel permeability,PATO:0000970,permeability,UBERON:0001473,lymphatic vessel
OBA:1000145,lymphatic vessel quality,PATO:0000001,quality,UBERON:0001473,lymphatic vessel
OBA:1000146,endoplasmic reticulum membrane permeability,PATO:0000970,permeability,GO:0005789,endoplasmic reticulum membrane
OBA:VT0000000,mammary gland secreted fluid morphology trait,PATO:0000051,morphology,UBERON:0006539,mammary gland fluid/secretion
OBA:VT0000002,head size trait,PATO:0000117,size,UBERON:0000033,head
OBA:VT0000003,adipose morphology trait,PATO:0000051,morphology,UBERON:0001013,adipose tissue
OBA:VT0000005,right atrium size trait,PATO:0000117,size,UBERON:0002078,right cardiac atrium
OBA:VT0000006,esophagus size trait,PATO:0000117,size,UBERON:0001043,esophagus
OBA:VT0000010,abdominal fat pad morphology trait,PATO:0000051,morphology,UBERON:0003427,abdominal fat pad
OBA:VT0000012,left atrium size trait,PATO:0000117,size,UBERON:0002079,left cardiac atrium
OBA:VT0000013,adipose distribution trait,PATO:0000060,spatial pattern,UBERON:0001013,adipose tissue
OBA:VT0000017,outer ear size trait,PATO:0000117,size,UBERON:0001691,external ear
OBA:VT0000018,ventricle membranous septum morphology trait,PATO:0000051,morphology,UBERON:0004666,interventricular septum membranous part
OBA:VT0000019,right atrium morphology trait,PATO:0000051,morphology,UBERON:0002078,right cardiac atrium
OBA:VT0000020,left atrium morphology trait,PATO:0000051,morphology,UBERON:0002079,left cardiac atrium
OBA:VT0000022,outer ear shape trait,PATO:0000052,shape,UBERON:0001691,external ear
OBA:VT0000024,atrium appendage morphology trait,PATO:0000051,morphology,UBERON:0006618,atrium auricular region
OBA:VT0000025,atrioventricular valve morphology trait,PATO:0000051,morphology,UBERON:0002133,atrioventricular valve
OBA:VT0000026,inner ear morphology trait,PATO:0000051,morphology,UBERON:0001846,internal ear
OBA:VT0000027,head width,PATO:0000921,width,UBERON:0000033,head
OBA:VT0000028,pars superior vestibularis morphology trait,PATO:0000051,morphology,UBERON:0002825,superior part of vestibular ganglion
OBA:VT0000029,malleus morphology trait,PATO:0000051,morphology,UBERON:0001689,malleus bone
OBA:VT0000030,tympanic ring morphology trait,PATO:0000051,morphology,UBERON:0002218,tympanic ring
OBA:VT0000031,cochlea morphology trait,PATO:0000051,morphology,UBERON:0001844,cochlea
OBA:VT0000033,mitral valve morphology trait,PATO:0000051,morphology,UBERON:0002135,mitral valve
OBA:VT0000034,vestibule morphology trait,PATO:0000051,morphology,UBERON:0001349,vestibule
OBA:VT0000035,membranous labyrinth morphology trait,PATO:0000051,morphology,UBERON:0001849,membranous labyrinth
OBA:VT0000036,tricuspid valve morphology trait,PATO:0000051,morphology,UBERON:0002134,tricuspid valve
OBA:VT0000037,lateral semicircular canal morphology trait,PATO:0000051,morphology,UBERON:0001843,lateral semicircular canal
OBA:VT0000038,head length,PATO:0000122,length,UBERON:0000033,head
OBA:VT0000039,otic capsule morphology trait,PATO:0000051,morphology,UBERON:0004637,otic capsule
OBA:VT0000040,aortic valve morphology trait,PATO:0000051,morphology,UBERON:0002137,aortic valve
OBA:VT0000041,endolymphatic duct size trait,PATO:0000117,size,UBERON:0001860,endolymphatic duct
OBA:VT0000042,organ of Corti morphology trait,PATO:0000051,morphology,UBERON:0002227,spiral organ of cochlea
OBA:VT0000044,pulmonary valve morphology trait,PATO:0000051,morphology,UBERON:0002146,pulmonary valve
OBA:VT0000045,hair cell morphology trait,PATO:0000051,morphology,CL:0000855,sensory hair cell
OBA:VT0000046,sulcus ampullaris morphology trait,PATO:0000051,morphology,UBERON:0009038,sulcus ampullaris
OBA:VT0000047,head circumference,PATO:0001648,circumference,UBERON:0000033,head
OBA:VT0000048,stria vascularis morphology trait,PATO:0000051,morphology,UBERON:0002282,stria vascularis of cochlear duct
OBA:VT0000049,middle ear morphology trait,PATO:0000051,morphology,UBERON:0001756,middle ear
OBA:VT0000051,testes physiology trait,PATO:0001509,functionality,UBERON:0000473,testis
OBA:VT0000058,heart muscle compact layer morphology trait,PATO:0000051,morphology,UBERON:0004125,myocardial compact layer
OBA:VT0000061,cardiomyocyte morphology trait,PATO:0000051,morphology,CL:0000746,cardiac muscle cell
OBA:VT0000062,heart muscle trabeculae morphology trait,PATO:0000051,morphology,UBERON:0004124,myocardium trabecular layer
OBA:VT0000063,ventricle papillary muscle morphology trait,PATO:0000051,morphology,UBERON:0002494,papillary muscle of heart
OBA:VT0000065,medullary cavity morphology trait,PATO:0000051,morphology,UBERON:0002484,bone marrow cavity
OBA:VT0000072,bone elasticity trait,PATO:0001031,elasticity,UBERON:0001474,bone element
OBA:VT0000074,neurocranium morphology trait,PATO:0000051,morphology,UBERON:0001703,neurocranium
OBA:VT0000075,blood-brain barrier morphology trait,PATO:0000051,morphology,UBERON:0000120,blood brain barrier
OBA:VT0000076,calvaria morphology trait,PATO:0000051,morphology,UBERON:0004339,vault of skull
OBA:VT0000077,interparietal bone morphology trait,PATO:0000051,morphology,UBERON:0002229,interparietal bone
OBA:VT0000078,supraoccipital bone morphology trait,PATO:0000051,morphology,UBERON:0004747,supraoccipital bone
OBA:VT0000079,basilar bone morphology trait,PATO:0000051,morphology,UBERON:0001692,basioccipital bone
OBA:VT0000080,exoccipital bone morphology trait,PATO:0000051,morphology,UBERON:0001693,exoccipital bone
OBA:VT0000084,fontanelle morphology trait,PATO:0000051,morphology,UBERON:0002221,fontanelle
OBA:VT0000085,blood-cerebrospinal fluid barrier morphology trait,PATO:0000051,morphology,UBERON:0003210,blood-cerebrospinal fluid barrier
OBA:VT0000087,capillary morphology trait,PATO:0000051,morphology,UBERON:0001982,capillary
OBA:VT0000098,vomer bone morphology trait,PATO:0000051,morphology,UBERON:0002396,vomer
OBA:VT0000100,ethmoid bone morphology trait,PATO:0000051,morphology,UBERON:0001679,ethmoid bone
OBA:VT0000102,nasal bone morphology trait,PATO:0000051,morphology,UBERON:0001681,nasal bone
OBA:VT0000104,sphenoid bone morphology trait,PATO:0000051,morphology,UBERON:0001677,sphenoid bone
OBA:VT0000106,basisphenoid morphology trait,PATO:0000051,morphology,UBERON:0006428,basisphenoid bone
OBA:VT0000107,frontal bone morphology trait,PATO:0000051,morphology,UBERON:0000209,tetrapod frontal bone
OBA:VT0000109,parietal bone morphology trait,PATO:0000051,morphology,UBERON:0000210,tetrapod parietal bone
OBA:VT0000124,tooth quantity,PATO:0001555,has number of,UBERON:0001091,calcareous tooth
OBA:VT0000125,heart tube morphology trait,PATO:0000051,morphology,UBERON:0004141,heart tube
OBA:VT0000126,tooth strength trait,PATO:0001230,strength,UBERON:0001091,calcareous tooth
OBA:VT0000130,cancellous bone morphology trait,PATO:0000051,morphology,UBERON:0002483,trabecular bone tissue
OBA:VT0000131,long bone epiphysis morphology trait,PATO:0000051,morphology,UBERON:0001437,epiphysis
OBA:VT0000132,epiphysis width,PATO:0000921,width,UBERON:0001437,epiphysis
OBA:VT0000133,long bone metaphysis morphology trait,PATO:0000051,morphology,UBERON:0001438,metaphysis
OBA:VT0000134,compact bone thickness,PATO:0000915,thickness,UBERON:0001439,compact bone tissue
OBA:VT0000135,outflow tract morphology trait,PATO:0000051,morphology,UBERON:0004145,outflow tract
OBA:VT0000136,microglial cell morphology trait,PATO:0000051,morphology,CL:0000129,microglial cell
OBA:VT0000137,vertebra morphology trait,PATO:0000051,morphology,UBERON:0002412,vertebra
OBA:VT0000138,vertebra quantity,PATO:0001555,has number of,UBERON:0002412,vertebra
OBA:VT0000139,transverse process morphology trait,PATO:0000051,morphology,UBERON:0003109,parapophysis
OBA:VT0000140,pedicle morphology trait,PATO:0000051,morphology,UBERON:0001078,pedicle of vertebra
OBA:VT0000141,vertebral body morphology trait,PATO:0000051,morphology,UBERON:0001075,bony vertebral centrum
OBA:VT0000142,outer ear thickness,PATO:0000915,thickness,UBERON:0001691,external ear
OBA:VT0000149,scapula morphology trait,PATO:0000051,morphology,UBERON:0006849,scapula
OBA:VT0000150,rib morphology trait,PATO:0000051,morphology,UBERON:0002228,rib
OBA:VT0000152,proximal rib morphology trait,PATO:0000051,morphology,UBERON:0010388,proximal segment of rib
OBA:VT0000157,sternum morphology trait,PATO:0000051,morphology,UBERON:0000975,sternum
OBA:VT0000159,xiphoid process morphology trait,PATO:0000051,morphology,UBERON:0002207,xiphoid process
OBA:VT0000163,cartilage morphology trait,PATO:0000051,morphology,UBERON:0002418,cartilage tissue
OBA:VT0000165,hypertrophic chondrocyte zone morphology trait,PATO:0000051,morphology,UBERON:0006772,long bone epiphyseal plate hypertrophic zone
OBA:VT0000166,chondrocyte morphology trait,PATO:0000051,morphology,CL:0000138,chondrocyte
OBA:VT0000167,chondrocyte quantity,PATO:0001555,has number of,CL:0000138,chondrocyte
OBA:VT0000170,blood vessel physiology trait,PATO:0001509,functionality,UBERON:0001981,blood vessel
OBA:VT0000171,blood physiology trait,PATO:0001509,functionality,UBERON:0000178,blood
OBA:VT0000173,lymph vessel physiology trait,PATO:0001509,functionality,UBERON:0001473,lymphatic vessel
OBA:VT0000174,lymph physiology trait,PATO:0001509,functionality,UBERON:0002391,lymph
OBA:VT0000182,blood flow trait,PATO:0001574,flow rate,UBERON:0000178,blood
OBA:VT0000183,blood pressure trait,PATO:0001025,pressure,UBERON:0000178,blood
OBA:VT0000187,triglyceride amount,PATO:0000070,amount,CHEBI:17855,triglyceride
OBA:VT0000190,blood vessel permeability trait,PATO:0000970,permeability,UBERON:0001981,blood vessel
OBA:VT0000192,mineral amount,PATO:0000070,amount,CHEBI:46662,mineral
OBA:VT0000217,leukocyte quantity,PATO:0000070,amount,CL:0000738,leukocyte
OBA:VT0000222,neutrophil quantity,PATO:0000070,amount,CL:0000775,neutrophil
OBA:VT0000223,monocyte quantity,PATO:0000070,amount,CL:0000576,monocyte
OBA:VT0000237,blood cell quantity,PATO:0001555,has number of,CL:0000988,hematopoietic cell
OBA:VT0000240,hematopoiesis location trait,PATO:0000140,position,GO:0030097,hemopoiesis
OBA:VT0000248,erythrocyte size trait,PATO:0000117,size,CL:0000232,erythrocyte
OBA:VT0000254,cerebrospinal fluid amount,PATO:0000918,volume,UBERON:0001359,cerebrospinal fluid
OBA:VT0000259,capillary permeability trait,PATO:0000970,permeability,UBERON:0001982,capillary
OBA:VT0000266,heart morphology trait,PATO:0000051,morphology,UBERON:0000948,heart
OBA:VT0000268,vibrissa quantity,PATO:0000070,amount,UBERON:0001037,strand of hair
OBA:VT0000272,aorta morphology trait,PATO:0000051,morphology,UBERON:0000947,aorta
OBA:VT0000277,heart shape trait,PATO:0000052,shape,UBERON:0000948,heart
OBA:VT0000285,heart valve morphology trait,PATO:0000052,shape,UBERON:0000946,cardial valve
OBA:VT0000288,pericardium morphology trait,PATO:0000051,morphology,UBERON:0002407,pericardium
OBA:VT0000319,endolymph physiology trait,PATO:0001509,functionality,UBERON:0001852,endolymph
OBA:VT0000334,granulocyte quantity,PATO:0001555,has number of,CL:0000094,granulocyte
OBA:VT0000336,mast cell quantity,PATO:0001555,has number of,CL:0000097,mast cell
OBA:VT0000340,perilymph physiology trait,PATO:0001509,functionality,UBERON:0001845,perilymph
OBA:VT0000341,bile color,PATO:0000014,color,UBERON:0001970,bile
OBA:VT0000344,Cajal-Retzius cell morphology trait,PATO:0000051,morphology,CL:0000695,Cajal-Retzius cell
