"OBA"	"RELATIONSHIP"	"VT"	"LABEL"
"OBA:VT0000164"	"skos:exactMatch"	"VT:0000164"	"cartilage development trait"
"OBA:VT0000165"	"skos:exactMatch"	"VT:0000165"	"hypertrophic chondrocyte zone morphology trait"
"OBA:VT0000170"	"skos:exactMatch"	"VT:0000170"	"blood vessel physiology trait"
"OBA:VT0000171"	"skos:exactMatch"	"VT:0000171"	"blood physiology trait"
"OBA:VT0000173"	"skos:exactMatch"	"VT:0000173"	"lymph vessel physiology trait"
"OBA:VT0000174"	"skos:exactMatch"	"VT:0000174"	"lymph physiology trait"
"OBA:VT0000180"	"skos:exactMatch"	"VT:0000180"	"blood cholesterol amount"
"OBA:VT0000181"	"skos:exactMatch"	"VT:0000181"	"blood LDL cholesterol amount"
"OBA:VT0000182"	"skos:exactMatch"	"VT:0000182"	"blood flow trait"
"OBA:VT0000183"	"skos:exactMatch"	"VT:0000183"	"blood pressure trait"
"OBA:VT0000184"	"skos:exactMatch"	"VT:0000184"	"blood HDL cholesterol amount"
"OBA:VT0000187"	"skos:exactMatch"	"VT:0000187"	"triglyceride amount"
"OBA:VT0000188"	"skos:exactMatch"	"VT:0000188"	"blood glucose amount"
"OBA:VT0000190"	"skos:exactMatch"	"VT:0000190"	"blood vessel permeability trait"
"OBA:VT0000192"	"skos:exactMatch"	"VT:0000192"	"mineral amount"
"OBA:VT0000197"	"skos:exactMatch"	"VT:0000197"	"vasodilation trait"
"OBA:VT0000198"	"skos:exactMatch"	"VT:0000198"	"vasoconstriction trait"
"OBA:VT0000202"	"skos:exactMatch"	"VT:0000202"	"blood alkaline phosphatase amount"
"OBA:VT0000229"	"skos:exactMatch"	"VT:0000229"	"megakaryocyte development trait"
"OBA:VT0000240"	"skos:exactMatch"	"VT:0000240"	"hematopoiesis location trait"
"OBA:VT0000245"	"skos:exactMatch"	"VT:0000245"	"erythropoiesis trait"
"OBA:VT0000248"	"skos:exactMatch"	"VT:0000248"	"erythrocyte size trait"
"OBA:VT0000254"	"skos:exactMatch"	"VT:0000254"	"cerebrospinal fluid amount"
"OBA:VT0000259"	"skos:exactMatch"	"VT:0000259"	"capillary permeability trait"
"OBA:VT0000260"	"skos:exactMatch"	"VT:0000260"	"hemostasis trait"
"OBA:VT0000266"	"skos:exactMatch"	"VT:0000266"	"heart morphology trait"
"OBA:VT0000267"	"skos:exactMatch"	"VT:0000267"	"heart development trait"
"OBA:VT0000268"	"skos:exactMatch"	"VT:0000268"	"vibrissa quantity"
"OBA:VT0000272"	"skos:exactMatch"	"VT:0000272"	"aorta morphology trait"
"OBA:VT0000277"	"skos:exactMatch"	"VT:0000277"	"heart shape trait"
"OBA:VT0000285"	"skos:exactMatch"	"VT:0000285"	"heart valve morphology trait"
"OBA:VT0000288"	"skos:exactMatch"	"VT:0000288"	"pericardium morphology trait"
"OBA:VT0000315"	"skos:exactMatch"	"VT:0000315"	"urine hemoglobin amount"
"OBA:VT0000319"	"skos:exactMatch"	"VT:0000319"	"endolymph physiology trait"
"OBA:VT0000340"	"skos:exactMatch"	"VT:0000340"	"perilymph physiology trait"
"OBA:VT0000341"	"skos:exactMatch"	"VT:0000341"	"bile color"
"OBA:VT0000353"	"skos:exactMatch"	"VT:0000353"	"vestibular system physiology trait"
"OBA:VT0000357"	"skos:exactMatch"	"VT:0000357"	"limb quantity"
"OBA:VT0000367"	"skos:exactMatch"	"VT:0000367"	"coat/hair morphology trait"
"OBA:VT0000379"	"skos:exactMatch"	"VT:0000379"	"hair follicle quantity"
"OBA:VT0000383"	"skos:exactMatch"	"VT:0000383"	"hair follicle orientation trait"
"OBA:VT0000384"	"skos:exactMatch"	"VT:0000384"	"hair follicle organization trait"
"OBA:VT0000385"	"skos:exactMatch"	"VT:0000385"	"hair follicle size trait"
"OBA:VT0000413"	"skos:exactMatch"	"VT:0000413"	"phalanx quantity"
"OBA:VT0000416"	"skos:exactMatch"	"VT:0000416"	"hair amount"
"OBA:VT0000417"	"skos:exactMatch"	"VT:0000417"	"hair length"
"OBA:VT0000424"	"skos:exactMatch"	"VT:0000424"	"hair growth trait"
"OBA:VT0000427"	"skos:exactMatch"	"VT:0000427"	"hair cycle trait"
"OBA:VT0000430"	"skos:exactMatch"	"VT:0000430"	"palatine process morphology trait"
"OBA:VT0000431"	"skos:exactMatch"	"VT:0000431"	"palatine shelf morphology trait"
"OBA:VT0000432"	"skos:exactMatch"	"VT:0000432"	"head morphology trait"
"OBA:VT0000438"	"skos:exactMatch"	"VT:0000438"	"skull morphology trait"
"OBA:VT0000443"	"skos:exactMatch"	"VT:0000443"	"snout morphology trait"
"OBA:VT0000444"	"skos:exactMatch"	"VT:0000444"	"snout shape trait"
"OBA:VT0000446"	"skos:exactMatch"	"VT:0000446"	"snout length"
"OBA:VT0000449"	"skos:exactMatch"	"VT:0000449"	"nasal bridge width"
"OBA:VT0000452"	"skos:exactMatch"	"VT:0000452"	"mouth morphology trait"
"OBA:VT0000454"	"skos:exactMatch"	"VT:0000454"	"jaw morphology trait"
"OBA:VT0000455"	"skos:exactMatch"	"VT:0000455"	"maxilla morphology trait"
"OBA:VT0000458"	"skos:exactMatch"	"VT:0000458"	"mandible morphology trait"
"OBA:VT0000461"	"skos:exactMatch"	"VT:0000461"	"presacral vertebra quantity"
"OBA:VT0000462"	"skos:exactMatch"	"VT:0000462"	"gastrointestinal system morphology trait"
"OBA:VT0000467"	"skos:exactMatch"	"VT:0000467"	"esophagus morphology trait"
"OBA:VT0000468"	"skos:exactMatch"	"VT:0000468"	"esophageal epithelium morphology trait"
"OBA:VT0000469"	"skos:exactMatch"	"VT:0000469"	"esophageal squamous epithelium morphology trait"
"OBA:VT0000470"	"skos:exactMatch"	"VT:0000470"	"stomach morphology trait"
"OBA:VT0000471"	"skos:exactMatch"	"VT:0000471"	"stomach epithelium morphology trait"
"OBA:VT0000472"	"skos:exactMatch"	"VT:0000472"	"stomach squamous epithelium morphology trait"
"OBA:VT0000473"	"skos:exactMatch"	"VT:0000473"	"stomach glandular epithelium morphology trait"
"OBA:VT0000474"	"skos:exactMatch"	"VT:0000474"	"foregut morphology trait"
"OBA:VT0000477"	"skos:exactMatch"	"VT:0000477"	"intestine morphology trait"
"OBA:VT0000482"	"skos:exactMatch"	"VT:0000482"	"fibula length"
"OBA:VT0000484"	"skos:exactMatch"	"VT:0000484"	"pulmonary artery morphology trait"
"OBA:VT0000488"	"skos:exactMatch"	"VT:0000488"	"intestinal epithelium morphology trait"
"OBA:VT0000489"	"skos:exactMatch"	"VT:0000489"	"large intestine morphology trait"
"OBA:VT0000490"	"skos:exactMatch"	"VT:0000490"	"crypt of Lieberkuhn morphology trait"
"OBA:VT0000492"	"skos:exactMatch"	"VT:0000492"	"rectum morphology trait"
"OBA:VT0000494"	"skos:exactMatch"	"VT:0000494"	"cecum morphology trait"
"OBA:VT0000495"	"skos:exactMatch"	"VT:0000495"	"colon morphology trait"
"OBA:VT0000496"	"skos:exactMatch"	"VT:0000496"	"small intestine morphology trait"
"OBA:VT0000497"	"skos:exactMatch"	"VT:0000497"	"small intestine orientation trait"
"OBA:VT0000511"	"skos:exactMatch"	"VT:0000511"	"intestinal mucosa morphology trait"
"OBA:VT0000516"	"skos:exactMatch"	"VT:0000516"	"urinary system morphology trait"
"OBA:VT0000521"	"skos:exactMatch"	"VT:0000521"	"kidney cortex morphology trait"
"OBA:VT0000524"	"skos:exactMatch"	"VT:0000524"	"kidney tubule quantity"
"OBA:VT0000526"	"skos:exactMatch"	"VT:0000526"	"kidney pyramid size trait"
"OBA:VT0000527"	"skos:exactMatch"	"VT:0000527"	"kidney development trait"
"OBA:VT0000530"	"skos:exactMatch"	"VT:0000530"	"kidney blood vessel morphology trait"
"OBA:VT0000534"	"skos:exactMatch"	"VT:0000534"	"ureter morphology trait"
"OBA:VT0000537"	"skos:exactMatch"	"VT:0000537"	"urethra morphology trait"
"OBA:VT0000538"	"skos:exactMatch"	"VT:0000538"	"urinary bladder morphology trait"
"OBA:VT0000539"	"skos:exactMatch"	"VT:0000539"	"urinary bladder size trait"
"OBA:VT0000541"	"skos:exactMatch"	"VT:0000541"	"urinary bladder transitional epithelium morphology trait"
"OBA:VT0000544"	"skos:exactMatch"	"VT:0000544"	"urinary bladder transitional epithelium thickness"
"OBA:VT0000548"	"skos:exactMatch"	"VT:0000548"	"limb length"
"OBA:VT0000550"	"skos:exactMatch"	"VT:0000550"	"forelimb morphology trait"
"OBA:VT0000552"	"skos:exactMatch"	"VT:0000552"	"radius morphology trait"
"OBA:VT0000554"	"skos:exactMatch"	"VT:0000554"	"carpus morphology trait"
"OBA:VT0000556"	"skos:exactMatch"	"VT:0000556"	"hindlimb morphology trait"
"OBA:VT0000558"	"skos:exactMatch"	"VT:0000558"	"tibia morphology trait"
"OBA:VT0000559"	"skos:exactMatch"	"VT:0000559"	"femur morphology trait"
"OBA:VT0000572"	"skos:exactMatch"	"VT:0000572"	"autopod morphology trait"
"OBA:VT0000573"	"skos:exactMatch"	"VT:0000573"	"hind paw size trait"
"OBA:VT0000574"	"skos:exactMatch"	"VT:0000574"	"foot pad morphology trait"
"OBA:VT0000579"	"skos:exactMatch"	"VT:0000579"	"nail morphology trait"
"OBA:VT0000580"	"skos:exactMatch"	"VT:0000580"	"nail shape trait"
"OBA:VT0000583"	"skos:exactMatch"	"VT:0000583"	"nail length"
"OBA:VT0000588"	"skos:exactMatch"	"VT:0000588"	"tail diameter"
"OBA:VT0000596"	"skos:exactMatch"	"VT:0000596"	"liver development trait"
"OBA:VT0000598"	"skos:exactMatch"	"VT:0000598"	"liver morphology trait"
"OBA:VT0000599"	"skos:exactMatch"	"VT:0000599"	"liver size trait"
"OBA:VT0000602"	"skos:exactMatch"	"VT:0000602"	"sinusoidal space size trait"
"OBA:VT0000603"	"skos:exactMatch"	"VT:0000603"	"liver pigmentation trait"
"OBA:VT0000609"	"skos:exactMatch"	"VT:0000609"	"liver physiology trait"
"OBA:VT0000613"	"skos:exactMatch"	"VT:0000613"	"salivary gland morphology trait"
"OBA:VT0000615"	"skos:exactMatch"	"VT:0000615"	"palatine gland morphology trait"
"OBA:VT0000620"	"skos:exactMatch"	"VT:0000620"	"salivary duct morphology trait"
"OBA:VT0000623"	"skos:exactMatch"	"VT:0000623"	"salivation trait"
"OBA:VT0000627"	"skos:exactMatch"	"VT:0000627"	"mammary gland morphology trait"
"OBA:VT0000628"	"skos:exactMatch"	"VT:0000628"	"mammary gland development trait"
"OBA:VT0000631"	"skos:exactMatch"	"VT:0000631"	"neuroendocrine gland morphology trait"
"OBA:VT0000632"	"skos:exactMatch"	"VT:0000632"	"pineal gland morphology trait"
"OBA:VT0000633"	"skos:exactMatch"	"VT:0000633"	"pituitary gland morphology trait"
"OBA:VT0000639"	"skos:exactMatch"	"VT:0000639"	"adrenal gland morphology trait"
"OBA:VT0000643"	"skos:exactMatch"	"VT:0000643"	"adrenal central medulla morphology trait"
"OBA:VT0000647"	"skos:exactMatch"	"VT:0000647"	"sebaceous gland morphology trait"
"OBA:VT0000652"	"skos:exactMatch"	"VT:0000652"	"sebaceous gland size trait"
"OBA:VT0000653"	"skos:exactMatch"	"VT:0000653"	"sex gland morphology trait"
"OBA:VT0000655"	"skos:exactMatch"	"VT:0000655"	"sex gland size trait"
"OBA:VT0000659"	"skos:exactMatch"	"VT:0000659"	"prostate size trait"
"OBA:VT0000660"	"skos:exactMatch"	"VT:0000660"	"lateral prostate size trait"
"OBA:VT0000661"	"skos:exactMatch"	"VT:0000661"	"ventral prostate size trait"
"OBA:VT0000666"	"skos:exactMatch"	"VT:0000666"	"prostate duct quantity"
"OBA:VT0000674"	"skos:exactMatch"	"VT:0000674"	"sweat gland morphology trait"
"OBA:VT0000678"	"skos:exactMatch"	"VT:0000678"	"parathyroid gland morphology trait"
"OBA:VT0000681"	"skos:exactMatch"	"VT:0000681"	"thyroid gland morphology trait"
"OBA:VT0000685"	"skos:exactMatch"	"VT:0000685"	"immune system morphology trait"
"OBA:VT0000689"	"skos:exactMatch"	"VT:0000689"	"spleen morphology trait"
"OBA:VT0000696"	"skos:exactMatch"	"VT:0000696"	"Peyer's patch morphology trait"
"OBA:VT0000700"	"skos:exactMatch"	"VT:0000700"	"lymph node quantity"
"OBA:VT0000701"	"skos:exactMatch"	"VT:0000701"	"lymph node size trait"
"OBA:VT0000703"	"skos:exactMatch"	"VT:0000703"	"thymus morphology trait"
"OBA:VT0000704"	"skos:exactMatch"	"VT:0000704"	"thymus development trait"
"OBA:VT0000712"	"skos:exactMatch"	"VT:0000712"	"vestibular hair cell development trait"
"OBA:VT0000737"	"skos:exactMatch"	"VT:0000737"	"myotome development trait"
"OBA:VT0000740"	"skos:exactMatch"	"VT:0000740"	"smooth muscle contractility trait"
"OBA:VT0000741"	"skos:exactMatch"	"VT:0000741"	"detrusor smooth muscle contractility trait"
"OBA:VT0000742"	"skos:exactMatch"	"VT:0000742"	"ileal smooth muscle contractility trait"
"OBA:VT0000759"	"skos:exactMatch"	"VT:0000759"	"skeletal muscle morphology trait"
"OBA:VT0000761"	"skos:exactMatch"	"VT:0000761"	"diaphragm thickness"
"OBA:VT0000762"	"skos:exactMatch"	"VT:0000762"	"tongue morphology trait"
"OBA:VT0000763"	"skos:exactMatch"	"VT:0000763"	"filiform papillae morphology trait"
"OBA:VT0000764"	"skos:exactMatch"	"VT:0000764"	"tongue epithelium morphology trait"
"OBA:VT0000765"	"skos:exactMatch"	"VT:0000765"	"tongue squamous epithelium morphology trait"
"OBA:VT0000767"	"skos:exactMatch"	"VT:0000767"	"smooth muscle morphology trait"
"OBA:VT0000768"	"skos:exactMatch"	"VT:0000768"	"common crus morphology trait"
"OBA:VT0000771"	"skos:exactMatch"	"VT:0000771"	"brain size trait"
"OBA:VT0000776"	"skos:exactMatch"	"VT:0000776"	"inferior colliculus morphology trait"
"OBA:VT0000777"	"skos:exactMatch"	"VT:0000777"	"inferior colliculus size trait"
"OBA:VT0000778"	"skos:exactMatch"	"VT:0000778"	"nervous system tract morphology trait"
"OBA:VT0000779"	"skos:exactMatch"	"VT:0000779"	"cochlea basement membrane morphology trait"
"OBA:VT0000780"	"skos:exactMatch"	"VT:0000780"	"corpus callosum morphology trait"
"OBA:VT0000781"	"skos:exactMatch"	"VT:0000781"	"corpus callosum size trait"
"OBA:VT0000783"	"skos:exactMatch"	"VT:0000783"	"forebrain morphology trait"
"OBA:VT0000787"	"skos:exactMatch"	"VT:0000787"	"telencephalon morphology trait"
"OBA:VT0000788"	"skos:exactMatch"	"VT:0000788"	"cerebral cortex morphology trait"
"OBA:VT0000789"	"skos:exactMatch"	"VT:0000789"	"cerebral cortex thickness"
"OBA:VT0000791"	"skos:exactMatch"	"VT:0000791"	"cerebral cortex layer morphology trait"
"OBA:VT0000792"	"skos:exactMatch"	"VT:0000792"	"cortical marginal zone morphology trait"
"OBA:VT0000794"	"skos:exactMatch"	"VT:0000794"	"parietal lobe morphology trait"
"OBA:VT0000795"	"skos:exactMatch"	"VT:0000795"	"postcentral gyrus morphology trait"
"OBA:VT0000796"	"skos:exactMatch"	"VT:0000796"	"sensory dissociation area morphology trait"
"OBA:VT0000797"	"skos:exactMatch"	"VT:0000797"	"supramarginal gyrus morphology trait"
"OBA:VT0000798"	"skos:exactMatch"	"VT:0000798"	"frontal lobe morphology trait"
"OBA:VT0000799"	"skos:exactMatch"	"VT:0000799"	"precentral gyrus morphology trait"
"OBA:VT0000800"	"skos:exactMatch"	"VT:0000800"	"prefrontal gyrus morphology trait"
"OBA:VT0000801"	"skos:exactMatch"	"VT:0000801"	"temporal lobe morphology trait"
"OBA:VT0000802"	"skos:exactMatch"	"VT:0000802"	"superior temporal gyrus morphology trait"
"OBA:VT0000803"	"skos:exactMatch"	"VT:0000803"	"transverse gyrus of Heschl morphology trait"
"OBA:VT0000804"	"skos:exactMatch"	"VT:0000804"	"occipital lobe morphology trait"
"OBA:VT0000805"	"skos:exactMatch"	"VT:0000805"	"visual cortex morphology trait"
"OBA:VT0000807"	"skos:exactMatch"	"VT:0000807"	"hippocampus morphology trait"
"OBA:VT0000808"	"skos:exactMatch"	"VT:0000808"	"hippocampus development trait"
"OBA:VT0000812"	"skos:exactMatch"	"VT:0000812"	"dentate gyrus morphology trait"
"OBA:VT0000813"	"skos:exactMatch"	"VT:0000813"	"hippocampus layer morphology trait"
"OBA:VT0000815"	"skos:exactMatch"	"VT:0000815"	"Ammon gyrus morphology trait"
"OBA:VT0000818"	"skos:exactMatch"	"VT:0000818"	"amygdala morphology trait"
"OBA:VT0000819"	"skos:exactMatch"	"VT:0000819"	"olfactory bulb morphology trait"
"OBA:VT0000820"	"skos:exactMatch"	"VT:0000820"	"choroid plexus morphology trait"
"OBA:VT0000822"	"skos:exactMatch"	"VT:0000822"	"brain ventricle morphology trait"
"OBA:VT0000823"	"skos:exactMatch"	"VT:0000823"	"lateral ventricle morphology trait"
"OBA:VT0000825"	"skos:exactMatch"	"VT:0000825"	"lateral ventricle size trait"
"OBA:VT0000826"	"skos:exactMatch"	"VT:0000826"	"third ventricle morphology trait"
"OBA:VT0000827"	"skos:exactMatch"	"VT:0000827"	"third ventricle size trait"
"OBA:VT0000828"	"skos:exactMatch"	"VT:0000828"	"fourth ventricle morphology trait"
"OBA:VT0000829"	"skos:exactMatch"	"VT:0000829"	"fourth ventricle size trait"
"OBA:VT0000830"	"skos:exactMatch"	"VT:0000830"	"diencephalon morphology trait"
"OBA:VT0000832"	"skos:exactMatch"	"VT:0000832"	"thalamus morphology trait"
"OBA:VT0000834"	"skos:exactMatch"	"VT:0000834"	"subthalamus morphology trait"
"OBA:VT0000835"	"skos:exactMatch"	"VT:0000835"	"subthalamic nucleus morphology trait"
"OBA:VT0000836"	"skos:exactMatch"	"VT:0000836"	"substantia nigra morphology trait"
"OBA:VT0000837"	"skos:exactMatch"	"VT:0000837"	"hypothalamus morphology trait"
"OBA:VT0000840"	"skos:exactMatch"	"VT:0000840"	"epithalamus morphology trait"
"OBA:VT0000841"	"skos:exactMatch"	"VT:0000841"	"hindbrain morphology trait"
"OBA:VT0000842"	"skos:exactMatch"	"VT:0000842"	"superior olivary complex morphology trait"
"OBA:VT0000844"	"skos:exactMatch"	"VT:0000844"	"pontine flexure morphology trait"
"OBA:VT0000846"	"skos:exactMatch"	"VT:0000846"	"medulla oblongata morphology trait"
"OBA:VT0000847"	"skos:exactMatch"	"VT:0000847"	"metencephalon morphology trait"
"OBA:VT0000848"	"skos:exactMatch"	"VT:0000848"	"pons morphology trait"
"OBA:VT0000849"	"skos:exactMatch"	"VT:0000849"	"cerebellum morphology trait"
"OBA:VT0000852"	"skos:exactMatch"	"VT:0000852"	"cerebellum size trait"
"OBA:VT0000854"	"skos:exactMatch"	"VT:0000854"	"cerebellum development trait"
"OBA:VT0000856"	"skos:exactMatch"	"VT:0000856"	"cerebellum plate morphology trait"
"OBA:VT0000859"	"skos:exactMatch"	"VT:0000859"	"somatosensory cortex morphology trait"
"OBA:VT0000860"	"skos:exactMatch"	"VT:0000860"	"primary somatosensory cortex morphology trait"
"OBA:VT0000863"	"skos:exactMatch"	"VT:0000863"	"secondary somatosensory cortex morphology trait"
"OBA:VT0000864"	"skos:exactMatch"	"VT:0000864"	"cerebellum vermis morphology trait"
"OBA:VT0000865"	"skos:exactMatch"	"VT:0000865"	"cerebellum vermis size trait"
"OBA:VT0000867"	"skos:exactMatch"	"VT:0000867"	"cerebellum anterior vermis morphology trait"
"OBA:VT0000868"	"skos:exactMatch"	"VT:0000868"	"cerebellum anterior vermis size trait"
"OBA:VT0000869"	"skos:exactMatch"	"VT:0000869"	"cerebellum posterior vermis morphology trait"
"OBA:VT0000870"	"skos:exactMatch"	"VT:0000870"	"cerebellum vermis lobule VIII morphology trait"
