id	predicate	value
EFO:0020046	rdfs:label	phosphatidylcholine 18:1 measurement
EFO:0004809	rdfs:label	fructose-bisphosphate aldolase measurement
EFO:0020544	rdfs:label	lymphotoxin-alpha measurement
EFO:0008158	rdfs:label	inosine-5'-monophosphate dehydrogenase 1 measurement
EFO:0009595	rdfs:label	guilt measurement
EFO:0004863	rdfs:label	recombination rate
EFO:0010220	rdfs:label	17-hydroxyprogesterone measurement@en
EFO:0004919	rdfs:label	metastasis free survival
EFO:0008099	rdfs:label	complement factor I measurement
EFO:0021428	rdfs:label	N6-succinyladenosine measurement@en
EFO:0020710	rdfs:label	ribosomal protein s6 kinase alpha-5 measurement
EFO:0004973	rdfs:label	germline genotype
EFO:0021237	rdfs:label	X-11444 measurement
EFO:0010778	rdfs:label	CXCL10 measurement
EFO:0021044	rdfs:label	palmitoylcarnitine measurement
EFO:0020820	rdfs:label	tyrosine-protein kinase CSK measurement
EFO:0004313	rdfs:label	maximal midexpiratory flow rate
EFO:0005275	rdfs:label	dihydroxy docosatrienoic acid measurement
EFO:0006821	rdfs:label	trans fatty acid measurement
EFO:0021154	rdfs:label	2-methoxyacetaminophen sulfate measurement
EFO:0008057	rdfs:label	C-X-C motif chemokine 11 measurement
EFO:0008379	rdfs:label	P wave terminal force measurement
EFO:0009814	rdfs:label	number of children fathered measurement
EFO:0011010	rdfs:label	glycodeoxycholate 3-O-glucuronide measurement@en
EFO:0010472	rdfs:label	creatine measurement@en
EFO:0021210	rdfs:label	X-09706 measurement
EFO:0010233	rdfs:label	genotoxic compound exposure measurement@en
EFO:0020890	rdfs:label	phenylalanine change measurement
EFO:0009097	rdfs:label	positive domain measurement
EFO:0020152	rdfs:label	anterior gradient protein 2 homolog measurement
EFO:0020484	rdfs:label	interferon gamma receptor 1 measurement
EFO:0021320	rdfs:label	X-12680 measurement
EFO:0020530	rdfs:label	legumain measurement
EFO:0004461	rdfs:label	iron biomarker measurement
EFO:0010618	rdfs:label	pappalysin‐1 measurement@en
EFO:0008211	rdfs:label	low affinity immunoglobulin gamma Fc region receptor II-a/b measurement
EFO:0009263	rdfs:label	nicotine withdrawal symptom count
EFO:0021057	rdfs:label	tetradecanedioate measurement
EFO:0008191	rdfs:label	interleukin 8 measurement
EFO:0020277	rdfs:label	complement C3D fragment measurement
EFO:0010417	rdfs:label	triacylglycerol 52:5 measurement@en
EFO:0007906	rdfs:label	synophrys measurement
EFO:0010386	rdfs:label	phosphatidylcholine 38:4 measurement@en
EFO:0010129	rdfs:label	breakfast skipping measurement
EFO:0008018	rdfs:label	alpha-1-antichymotrypsin complex measurement
EFO:0021030	rdfs:label	arabinose measurement
EFO:0007976	rdfs:label	erucic acid measurement
EFO:0010575	rdfs:label	vascular endothelial growth factor D measurement@en
EFO:0021140	rdfs:label	gamma-glutamylleucine measurement
EFO:0020748	rdfs:label	SPARC measurement
EFO:0020751	rdfs:label	sphingosine kinase 2 measurement
EFO:0020241	rdfs:label	cathepsin E measurement
EFO:0021303	rdfs:label	X-12405 measurement
EFO:0010500	rdfs:label	hypoxanthine mesurement@en
EFO:0007864	rdfs:label	sulfate measurement
EFO:0021413	rdfs:label	androsterone sulfate-to-4-androsten-3beta,17beta-diol disulfate 2 ratio
EFO:0009224	rdfs:label	Hemoglobin S to Total Hemoglobin Ratio Measurement
EFO:0020633	rdfs:label	pescadillo homolog measurement
EFO:0000638	rdfs:label	overall survival
EFO:0000412	rdfs:label	distant metastasis free survival
EFO:0010763	rdfs:label	axin-1 measurement
EFO:0006827	rdfs:label	renin–angiotensin–aldosterone system measurement
EFO:0005206	rdfs:label	oligoclonal band measurement
EFO:0007050	rdfs:label	HSV1 seropositivity
EFO:0009764	rdfs:label	eye colour measurement
EFO:0020144	rdfs:label	amphiregulin measurement
EFO:0020305	rdfs:label	cytokine receptor-like factor 1:cardiotrophin-like cytokine factor 1 complex measurement
EFO:0021265	rdfs:label	X-11820 measurement
EFO:0010403	rdfs:label	triacylglycerol 48:0 measurement@en
EFO:0021008	rdfs:label	3- 4-hydroxyphenyl lactate measurement
EFO:0020193	rdfs:label	brevican core protein measurement
EFO:0010288	rdfs:label	brain density measurement@en
EFO:0009436	rdfs:label	offspring survival measurement
EFO:0005767	rdfs:label	rheumatoid factor measurement
EFO:0007058	rdfs:label	last follow up
EFO:0009934	rdfs:label	Immunosuppressant use measurement
EFO:0021375	rdfs:label	X-14632 measurement
EFO:0005168	rdfs:label	wild type genotype
EFO:0000721	rdfs:label	time
EFO:0008004	rdfs:label	resting metabolic rate measurement
EFO:0020854	rdfs:label	x-linked interleukin-1 receptor accessory protein-like 2 measurement
EFO:0008468	rdfs:label	midregional pro atrial natriuretic peptide measurement
EFO:0005921	rdfs:label	FEV change measurement
EFO:0007740	rdfs:label	S wave amplitude
EFO:0020453	rdfs:label	histone deacetylase 8 measurement
EFO:0010699	rdfs:label	diffuse plaque measurement@en
EFO:0008267	rdfs:label	polymeric immunoglobulin receptor measurement
EFO:0000246	rdfs:label	age
EFO:0010371	rdfs:label	lysophosphatidylethanolamine 22:6 measurement@en
EFO:0004425	rdfs:label	initial time point
EFO:0005850	rdfs:label	emphysema pattern measurement
EFO:0021278	rdfs:label	X-12029 measurement
EFO:0010114	rdfs:label	citrate measurement
EFO:0007850	rdfs:label	solar lentigines measurement
EFO:0021085	rdfs:label	1-myristoylglycerophosphocholine measurement
EFO:0004813	rdfs:label	alpha globulin measurement
EFO:0009947	rdfs:label	nucleoside diphosphate kinase A measurement
EFO:0021146	rdfs:label	bradykinin, des-arg 9 measurement
EFO:0020757	rdfs:label	sumo-conjugating enzyme UBC9 measurement
EFO:0009271	rdfs:label	Epstein Barr virus nuclear antigen-1 seropositivity
EFO:0021195	rdfs:label	X-05426 measurement
EFO:0020411	rdfs:label	glyceraldehyde-3-phosphate dehydrogenase measurement
EFO:0010506	rdfs:label	kynurenic acid measurement@en
EFO:0008252	rdfs:label	OCIA domain-containing protein 1 measurement
EFO:0020867	rdfs:label	remnant cholesterol change measurement
EFO:0021090	rdfs:label	1-palmitoylglycerophosphoethanolamine measurement
EFO:0007042	rdfs:label	polychlorinated biphenyls measurement
EFO:0020674	rdfs:label	protein fam107b measurement
EFO:0010769	rdfs:label	CCL28 measurement
EFO:0008362	rdfs:label	farm exposure measurement
EFO:0020969	rdfs:label	free stigmasterol measurement@en
EFO:0005035	rdfs:label	hippocampal volume
EFO:0008107	rdfs:label	death-associated protein kinase 2 measurement
EFO:0021104	rdfs:label	heptanoate 7:0 measurement
EFO:0021257	rdfs:label	X-11786--methylcysteine measurement
EFO:0009389	rdfs:label	sum of eosinophil and basophil counts
EFO:0021098	rdfs:label	2-stearoylglycerophosphocholine measurement
EFO:0005843	rdfs:label	cortisol measurement
EFO:0020314	rdfs:label	DCTP pyrophosphatase 1 measurement
EFO:0020840	rdfs:label	ubiquitin-conjugating enzyme E2 L3 measurement
EFO:0010640	rdfs:label	chronic post-operative pain measurement
EFO:0020199	rdfs:label	C-C motif chemokine 28 measurement
EFO:0005413	rdfs:label	joint damage measurement
EFO:0021367	rdfs:label	X-14304--leucylalanine measurement
EFO:0010984	rdfs:label	3-hydroxyisovalerate measurement
EFO:0004633	rdfs:label	protein C measurement
EFO:0020424	rdfs:label	group IIe secretory phospholipase A2 measurement
EFO:0008320	rdfs:label	white matter volume measurement
EFO:0020577	rdfs:label	mitogen-activated protein kinase 13 measurement
EFO:0020687	rdfs:label	protein s100-a9 measurement
EFO:0007801	rdfs:label	lycopene measurement
EFO:0007650	rdfs:label	soluble interleukin-2 receptor subunit alpha measurement
EFO:0010094	rdfs:label	grapefruit juice consumption measurement
EFO:0020249	rdfs:label	CD70 antigen measurement
EFO:0020228	rdfs:label	carbonic anhydrase 2 measurement
EFO:0008328	rdfs:label	chronotype measurement
EFO:0010421	rdfs:label	triacylglycerol 54:3 measurement@en
EFO:0020789	rdfs:label	troponin i, fast skeletal muscle measurement
EFO:0000287	rdfs:label	biopsy number
EFO:0005538	rdfs:label	thrombin generation potential measurement
EFO:0007118	rdfs:label	sitting height ratio
EFO:0010377	rdfs:label	phosphatidylcholine 34:3 measurement@en
EFO:0010380	rdfs:label	phosphatidylcholine 36:2 measurement@en
EFO:0004585	rdfs:label	naphthyl-keratin adduct measurement
EFO:0021077	rdfs:label	1-arachidonoylglycerophosphoethanolamine measurement
EFO:0004346	rdfs:label	neuroimaging measurement
EFO:0010437	rdfs:label	triacylglycerol 58:10 measurement@en
EFO:0007648	rdfs:label	vancomycin trough measurement
EFO:0020660	rdfs:label	prostate-specific antigen measurement
EFO:0004868	rdfs:label	volumetric brain MRI
EFO:0004695	rdfs:label	intraocular pressure measurement
EFO:0010225	rdfs:label	lysophosphatidylethanolamine measurement@en
EFO:0021187	rdfs:label	X-03088 measurement
EFO:0020403	rdfs:label	glia-derived nexin measurement
EFO:0007704	rdfs:label	depressive episode measurement
EFO:0009212	rdfs:label	Hemoglobin A2 to Total Hemoglobin Ratio Measurement
EFO:0020417	rdfs:label	granulocyte-macrophage colony-stimulating factor measurement
EFO:0010547	rdfs:label	ursodeoxycholate measurement@en
EFO:0008140	rdfs:label	gp41 C34 peptide, HIV measurement
EFO:0007970	rdfs:label	estrone measurement
EFO:0008476	rdfs:label	delayed reward discounting measurement
EFO:0007814	rdfs:label	refractive error measurement
EFO:0020185	rdfs:label	bone morphogenetic protein 10 measurement
EFO:0020742	rdfs:label	SLAM family member 6 measurement
EFO:0003962	rdfs:label	pulsed doppler echocardiography
EFO:0007621	rdfs:label	bone mineral content measurement
EFO:0004514	rdfs:label	bone quantitative ultrasound measurement
EFO:0009926	rdfs:label	Vasodilators used in cardiac diseases use measurement
EFO:0008148	rdfs:label	hemojuvelin measurement
EFO:0011015	rdfs:label	educational attainment@en
EFO:0007884	rdfs:label	functional microbiome measurement
EFO:0008043	rdfs:label	C-C motif chemokine 15 measurement
EFO:0005419	rdfs:label	contrast sensitivity measurement
EFO:0020638	rdfs:label	phosphoglycerate kinase 1 measurement
EFO:0009769	rdfs:label	histidine measurement
EFO:0010423	rdfs:label	triacylglycerol 54:5 measurement@en
EFO:0020562	rdfs:label	megakaryocyte-associated tyrosine-protein kinase measurement
EFO:0007787	rdfs:label	plasma betaine measurement
EFO:0021336	rdfs:label	X-12816 measurement
EFO:0010533	rdfs:label	sorbitol measurement@en
EFO:0006781	rdfs:label	coffee consumption measurement
EFO:0007897	rdfs:label	cryptoxanthin measurement
EFO:0020213	rdfs:label	cadherin-3 measurement
EFO:0021290	rdfs:label	X-12188 measurement
EFO:0010816	rdfs:label	dietary fat liking measurement@en
EFO:0004641	rdfs:label	white matter integrity
EFO:0008205	rdfs:label	left ventricular structural measurement
EFO:0008293	rdfs:label	stromal cell-derived factor 1 alpha measurement
EFO:0006922	rdfs:label	delivery measurement
EFO:0009180	rdfs:label	rosacea severity measurement
EFO:0020409	rdfs:label	glutathione s-transferase a3 measurement
EFO:0004751	rdfs:label	CCL4 measurement
EFO:0007745	rdfs:label	lactate measurement
EFO:0020458	rdfs:label	hsp90 co-chaperone CDC37 measurement
EFO:0009722	rdfs:label	number of stillbirths
EFO:0020267	rdfs:label	cofilin-1 measurement
EFO:0009589	rdfs:label	worry measurement
EFO:0020246	rdfs:label	CD226 antigen measurement
EFO:0021298	rdfs:label	X-12236 measurement
EFO:0008251	rdfs:label	non-receptor tyrosine-protein kinase TYK2 measurement
EFO:0008407	rdfs:label	susceptibility to Mycobacterium tuberculosis infection measurement
EFO:0021404	rdfs:label	glucose-to-mannose ratio
EFO:0020116	rdfs:label	3-phosphoinositide-dependent protein kinase 1 measurement
EFO:0020624	rdfs:label	peptidoglycan recognition protein 1 measurement
EFO:0010490	rdfs:label	glycochenodeoxycholate measurement@en
EFO:0007627	rdfs:label	airway imaging measurement
EFO:0007041	rdfs:label	obese body mass index status
EFO:0600066	rdfs:label	nutritional supplement exposure measurement
EFO:0010768	rdfs:label	CCL25 measurement
EFO:0020170	rdfs:label	azurocidin measurement
EFO:0009594	rdfs:label	irritability measurement
EFO:0007934	rdfs:label	creatinine clearance measurement
EFO:0009865	rdfs:label	transcriptome measurement
EFO:0020963	rdfs:label	free campesterol measurement@en
EFO:0020887	rdfs:label	isoleucine change measurement
EFO:0020149	rdfs:label	angiopoietin-related protein 4 measurement
EFO:0020706	rdfs:label	retinoblastoma-associated protein measurement
EFO:0007049	rdfs:label	gliadin seropositivity
EFO:0021251	rdfs:label	X-11538 measurement
EFO:0008369	rdfs:label	infant intracranial volume measurement
EFO:0011000	rdfs:label	proline betaine measurement
EFO:0004458	rdfs:label	C-reactive protein measurement
EFO:0021361	rdfs:label	X-14056 measurement
EFO:0020581	rdfs:label	mitogen-activated protein kinase 9 measurement
EFO:0007848	rdfs:label	apolipoprotein A-IV measurement
EFO:0008022	rdfs:label	angiogenin measurement
EFO:0008071	rdfs:label	catalase measurement
EFO:0010468	rdfs:label	carboxylic acid measurement@en
EFO:0004910	rdfs:label	CYP3A4 activity
EFO:0010091	rdfs:label	tea consumption measurement
EFO:0020691	rdfs:label	protein-tyrosine kinase 6 measurement
EFO:0020444	rdfs:label	heterogeneous nuclear ribonucleoproteins A2/B1 measurement
EFO:0008544	rdfs:label	analgesia requirement measurement
EFO:0010539	rdfs:label	taurodeoxycholate measurement@en
EFO:0008132	rdfs:label	fibronectin fragment 4 measurement
EFO:0008181	rdfs:label	interleukin 23 receptor measurement
EFO:0600027	rdfs:label	hemoglobin change measurement
EFO:0020219	rdfs:label	calcium/calmodulin-dependent protein kinase type II subunit beta measurement
EFO:0020942	rdfs:label	propionylcarnitine measurement@en
EFO:0020783	rdfs:label	transketolase measurement
EFO:0020526	rdfs:label	lactotransferrin measurement
EFO:0004576	rdfs:label	fetal hemoglobin measurement
EFO:0021071	rdfs:label	palmitate 16:0 measurement
EFO:0010441	rdfs:label	triacylglycerol 58:7 measurement@en
EFO:0004340	rdfs:label	body mass index
EFO:0008243	rdfs:label	natural cytotoxicity triggering receptor 3 measurement
EFO:0004862	rdfs:label	phytosterol measurement
EFO:0008426	rdfs:label	IgG bisecting N-acetyl glucosamine measurement
EFO:0021354	rdfs:label	X-13549 measurement
EFO:0021181	rdfs:label	X-01911 measurement
EFO:0010551	rdfs:label	xanthurenate measurement@en
EFO:0021229	rdfs:label	X-11412 measurement
EFO:0008084	rdfs:label	chitotriosidase-1 measurement
EFO:0008353	rdfs:label	cellular adhesion molecule measurement
EFO:0006520	rdfs:label	carbon monoxide exhalation measurement
EFO:0021283	rdfs:label	X-12063 measurement
EFO:0004534	rdfs:label	creatine kinase measurement
EFO:0004730	rdfs:label	hormone measurement
EFO:0021026	rdfs:label	erythrose measurement
EFO:0000689	rdfs:label	sampling time
EFO:0020955	rdfs:label	beta-microseminoprotein measurement@en
EFO:0009214	rdfs:label	Hemoglobin Barts to Total Hemoglobin Ratio Measurement
EFO:0020010	rdfs:label	butyrylcarnitine measurement@en
EFO:0020024	rdfs:label	X-15728 measurement@en
EFO:0006797	rdfs:label	neurofibrillary tangles measurement
EFO:0010454	rdfs:label	adenosine monophosphate measurement@en
EFO:0004519	rdfs:label	soluble P-selectin measurement
EFO:0020120	rdfs:label	6-phosphogluconate dehydrogenase, decarboxylating measurement
EFO:0020134	rdfs:label	AH receptor-interacting protein measurement
EFO:0000718	rdfs:label	exposure temperature
EFO:0007011	rdfs:label	SSRI use measurement
EFO:0008063	rdfs:label	calcium/calmodulin-dependent protein kinase type 1D measurement
EFO:0004682	rdfs:label	QT interval
EFO:0021174	rdfs:label	1-methylxanthine measurement
EFO:0008077	rdfs:label	CD209 antigen measurement
EFO:0020512	rdfs:label	kallikrein-13 measurement
EFO:0004951	rdfs:label	alive at endpoint
EFO:0009245	rdfs:label	Neutrophilic Myelocyte Count
EFO:0008173	rdfs:label	interleukin 16 measurement
EFO:0010368	rdfs:label	lysophosphatidylethanolamine 18:1 measurement@en
EFO:0008187	rdfs:label	interleukin 6 receptor subunit alpha measurement
EFO:0021340	rdfs:label	X-12847 measurement
EFO:0005128	rdfs:label	albumin:globulin ratio measurement
EFO:0010700	rdfs:label	reticulocyte measurement@en
EFO:0021132	rdfs:label	pro-hydroxy-pro measurement
EFO:0010919	rdfs:label	melusin measurement
EFO:0009303	rdfs:label	fructosamine measurement
EFO:0020408	rdfs:label	glutamate carboxypeptidase 2 measurement
EFO:0009794	rdfs:label	NRF2 measurement
EFO:0010810	rdfs:label	protein intake measurement@en
EFO:0007961	rdfs:label	polybrominated biphenyl measurement
EFO:0007975	rdfs:label	gondoic acid measurement
EFO:0020990	rdfs:label	arginine measurement@en
EFO:0020462	rdfs:label	immunoglobulin alpha fc receptor measurement
EFO:0008298	rdfs:label	thioredoxin domain-containing protein 12 measurement
EFO:0020906	rdfs:label	intermediate density lipoprotein change measurement
EFO:0020733	rdfs:label	serine/threonine-protein kinase receptor R3 measurement
EFO:0020747	rdfs:label	sorting nexin-4 measurement
EFO:0020261	rdfs:label	ciliary neurotrophic factor receptor subunit alpha measurement
EFO:0004783	rdfs:label	TEMPS-A questionnaire
EFO:0006956	rdfs:label	intraocular pressure change measurement
EFO:0006783	rdfs:label	psychosocial stress measurement
EFO:0021292	rdfs:label	X-12206 measurement
EFO:0020332	rdfs:label	DNAj homolog subfamily b member 1 measurement
EFO:0006526	rdfs:label	pack-years measurement
EFO:0004771	rdfs:label	visual cortical surface area measurement
EFO:0008411	rdfs:label	susceptibility to bacterial meningitis measurement
EFO:0021035	rdfs:label	acetylphosphate measurement
EFO:0009206	rdfs:label	Free Hemoglobin Measurement
EFO:0006809	rdfs:label	docosapentaenoic acid measurement
EFO:0020615	rdfs:label	nucleoside diphosphate kinase B measurement
EFO:0009351	rdfs:label	Anti-varicella zoster virus IgG measurement
EFO:0021145	rdfs:label	gamma-glutamylvaline measurement
EFO:0600060	rdfs:label	blood group A
EFO:0020065	rdfs:label	diacylglycerol 38:3 measurement
EFO:0007889	rdfs:label	dysmenorrheic pain measurement
EFO:0020365	rdfs:label	estradiol 17-beta-dehydrogenase 1 measurement
EFO:0010520	rdfs:label	peptide measurement@en
EFO:0010495	rdfs:label	guanosine monophosphate measurement@en
EFO:0021247	rdfs:label	X-11521 measurement
EFO:0020881	rdfs:label	glucose change measurement
EFO:0020175	rdfs:label	baculoviral IAP repeat-containing protein 7 isoform beta measurement
EFO:0007005	rdfs:label	free androgen index
EFO:0009359	rdfs:label	Anti-hepatitis B virus core antigen IgG measurement
EFO:0020726	rdfs:label	serine/threonine-protein kinase CHK2 measurement
EFO:0020553	rdfs:label	MAP kinase-activated protein kinase 5 measurement
EFO:0020567	rdfs:label	metalloproteinase inhibitor 2 measurement
EFO:0011005	rdfs:label	urea measurement
EFO:0005691	rdfs:label	plasma trimethylamine N-oxide measurement
EFO:0020836	rdfs:label	tyrosine-protein phosphatase non-receptor type 2 measurement
EFO:0010934	rdfs:label	aspartate aminotransferase to alanine aminotransferase ratio@en
EFO:0021381	rdfs:label	betaine-to-pyroglutamine ratio
EFO:0004632	rdfs:label	nevus count
EFO:0021200	rdfs:label	X-06267 measurement
EFO:0021395	rdfs:label	DSGEGDFXAEGGGVR-to-ADpSGEGDFXAEGGGVR ratio
EFO:0021138	rdfs:label	gamma-glutamylglutamine measurement
EFO:0005188	rdfs:label	CCL11 measurement
EFO:0009312	rdfs:label	proprotein convertase subtilisin/kexin type 9 measurement
EFO:0004915	rdfs:label	vaspin measurement
EFO:0008394	rdfs:label	verbal-numerical reasoning measurement
EFO:0010488	rdfs:label	glycerol-3-phosphate measurement@en
EFO:0021067	rdfs:label	myristate 14:0 measurement
EFO:0005094	rdfs:label	P wave duration
EFO:0010093	rdfs:label	bitter non-alcoholic beverage consumption measurement
EFO:0010598	rdfs:label	platelet endothelial cell adhesion molecule measurement@en
EFO:0020051	rdfs:label	diacylglycerol 30:1 measurement
EFO:0020232	rdfs:label	carbonic anhydrase 9 measurement
EFO:0600011	rdfs:label	Parkinson's disease symptom measurement
EFO:0010376	rdfs:label	phosphatidylcholine 34:2 measurement@en
EFO:0020161	rdfs:label	aromatic-l-amino-acid decarboxylase measurement
EFO:0020656	rdfs:label	prolactin receptor measurement
EFO:0010927	rdfs:label	proto-oncogene tyrosine-protein kinase Src measurement
EFO:0600019	rdfs:label	COVID-19 symptoms measurement
EFO:0020712	rdfs:label	rna-binding protein 39 measurement
EFO:0009883	rdfs:label	urinary sodium to creatinine ratio
EFO:0021020	rdfs:label	3-methyl-2-oxobutyrate measurement
EFO:0008245	rdfs:label	neurodevelopmental measurement
EFO:0008387	rdfs:label	caudate nucleus measurement
EFO:0020822	rdfs:label	tyrosine-protein kinase FGR measurement
EFO:0008355	rdfs:label	dietary heme iron intake measurement
EFO:0006340	rdfs:label	mean arterial pressure
EFO:0010086	rdfs:label	anti-Haemophilus influenzae type b polyribosylribitol phosphate IgG measurement
EFO:0021124	rdfs:label	guanosine measurement
EFO:0020559	rdfs:label	matrix metalloproteinase-16 measurement
EFO:0021173	rdfs:label	1-methylurate measurement
EFO:0010474	rdfs:label	cystathionine measurement@en
EFO:0006901	rdfs:label	angiopoietin-2 measurement
EFO:0005675	rdfs:label	vitamin D-binding protein measurement
EFO:0020154	rdfs:label	antileukoproteinase measurement
EFO:0021216	rdfs:label	X-10506 measurement
EFO:0010584	rdfs:label	cancer antigen 19.9 measurement@en
EFO:0007763	rdfs:label	dihomo-gamma-linolenic acid measurement
EFO:0021312	rdfs:label	X-12465 measurement
