defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0004576	abnormal embryonic autopod plate morphology	http://purl.obolibrary.org/obo/UBERON_0010130	embryonic autopod plate	MP_0004576
http://purl.obolibrary.org/obo/MP_0003126	abnormal external female genitalia morphology	http://purl.obolibrary.org/obo/UBERON_0005056	external female genitalia	MP_0003126
http://purl.obolibrary.org/obo/MP_0009199	abnormal external male genitalia morphology	http://purl.obolibrary.org/obo/UBERON_0004053	external male genitalia	MP_0009199
http://purl.obolibrary.org/obo/MP_0002086	abnormal extraembryonic tissue morphology	http://purl.obolibrary.org/obo/UBERON_0000478	extraembryonic structure	MP_0002086
http://purl.obolibrary.org/obo/MP_0002092	abnormal eye morphology	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye	MP_0002092
http://purl.obolibrary.org/obo/MP_0001340	abnormal eyelid morphology	http://purl.obolibrary.org/obo/UBERON_0001711	eyelid	MP_0001340
http://purl.obolibrary.org/obo/MP_0003743	abnormal facial morphology	http://purl.obolibrary.org/obo/UBERON_0001456	face	MP_0003743
http://purl.obolibrary.org/obo/MP_0001071	abnormal facial nerve morphology	http://purl.obolibrary.org/obo/UBERON_0001647	facial nerve	MP_0001071
http://purl.obolibrary.org/obo/MP_0009208	abnormal female genitalia morphology	http://purl.obolibrary.org/obo/UBERON_0003134	female reproductive organ	MP_0009208
http://purl.obolibrary.org/obo/MP_0000559	abnormal femur morphology	http://purl.obolibrary.org/obo/UBERON_0000981	femur	MP_0000559
http://purl.obolibrary.org/obo/MP_0002187	abnormal fibula morphology	http://purl.obolibrary.org/obo/UBERON_0001446	fibula	MP_0002187
http://purl.obolibrary.org/obo/MP_0000574	abnormal foot pad morphology	http://purl.obolibrary.org/obo/UBERON_0008838	metapodial pad	MP_0000574
http://purl.obolibrary.org/obo/MP_0000783	abnormal forebrain morphology	http://purl.obolibrary.org/obo/UBERON_0001890	forebrain	MP_0000783
http://purl.obolibrary.org/obo/MP_0000550	abnormal forelimb morphology	http://purl.obolibrary.org/obo/UBERON_0002102	forelimb	MP_0000550
http://purl.obolibrary.org/obo/MP_0000828	abnormal fourth ventricle morphology	http://purl.obolibrary.org/obo/UBERON_0002422	fourth ventricle	MP_0000828
http://purl.obolibrary.org/obo/MP_0004082	abnormal habenula morphology	http://purl.obolibrary.org/obo/UBERON_0001904	habenula	MP_0004082
http://purl.obolibrary.org/obo/MP_0000432	abnormal head morphology	http://purl.obolibrary.org/obo/UBERON_0000033	head	MP_0000432
http://purl.obolibrary.org/obo/MP_0003921	abnormal heart left ventricle morphology	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle	MP_0003921
http://purl.obolibrary.org/obo/MP_0000266	abnormal heart morphology	http://purl.obolibrary.org/obo/UBERON_0000948	heart	MP_0000266
http://purl.obolibrary.org/obo/MP_0000841	abnormal hindbrain morphology	http://purl.obolibrary.org/obo/UBERON_0002028	hindbrain	MP_0000841
http://purl.obolibrary.org/obo/MP_0000556	abnormal hindlimb morphology	http://purl.obolibrary.org/obo/UBERON_0002103	hindlimb	MP_0000556
http://purl.obolibrary.org/obo/MP_0008221	abnormal hippocampal commissure morphology	http://purl.obolibrary.org/obo/UBERON_0000908	hippocampal commissure	MP_0008221
http://purl.obolibrary.org/obo/MP_0008286	abnormal hippocampus molecular cell layer	http://purl.obolibrary.org/obo/UBERON_0005368	hippocampus molecular layer	MP_0008286
http://purl.obolibrary.org/obo/MP_0011150	abnormal hippocampus stratum oriens morphology	http://purl.obolibrary.org/obo/UBERON_0005371	hippocampus stratum oriens	MP_0011150
http://purl.obolibrary.org/obo/MP_0011151	abnormal hippocampus stratum radiatum morphology	http://purl.obolibrary.org/obo/UBERON_0005372	hippocampus stratum radiatum	MP_0011151
http://purl.obolibrary.org/obo/MP_0005296	abnormal humerus morphology	http://purl.obolibrary.org/obo/UBERON_0000976	humerus	MP_0005296
http://purl.obolibrary.org/obo/MP_0005358	abnormal incisor morphology	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth	MP_0005358
http://purl.obolibrary.org/obo/MP_0001322	abnormal iris morphology	http://purl.obolibrary.org/obo/UBERON_0001769	iris	MP_0001322
http://purl.obolibrary.org/obo/MP_0002932	abnormal joint morphology	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint	MP_0002932
http://purl.obolibrary.org/obo/MP_0000823	abnormal lateral ventricle morphology	http://purl.obolibrary.org/obo/UBERON_0002285	telencephalic ventricle	MP_0000823
http://purl.obolibrary.org/obo/MP_0001303	abnormal lens morphology	http://purl.obolibrary.org/obo/UBERON_0000965	lens of camera-type eye	MP_0001303
http://purl.obolibrary.org/obo/MP_0005650	abnormal limb bud morphology	http://purl.obolibrary.org/obo/UBERON_0004347	limb bud	MP_0005650
http://purl.obolibrary.org/obo/MP_0002109	abnormal limb morphology	http://purl.obolibrary.org/obo/UBERON_0002101	limb	MP_0002109
http://purl.obolibrary.org/obo/MP_0003769	abnormal lip morphology	http://purl.obolibrary.org/obo/UBERON_0001833	lip	MP_0003769
http://purl.obolibrary.org/obo/MP_0000598	abnormal liver morphology	http://purl.obolibrary.org/obo/UBERON_0002107	liver	MP_0000598
http://purl.obolibrary.org/obo/MP_0003049	abnormal lumbar vertebrae morphology	http://purl.obolibrary.org/obo/UBERON_0002414	lumbar vertebra	MP_0003049
http://purl.obolibrary.org/obo/MP_0001175	abnormal lung morphology	http://purl.obolibrary.org/obo/UBERON_0002048	lung	MP_0001175
http://purl.obolibrary.org/obo/MP_0009198	abnormal male genitalia morphology	http://purl.obolibrary.org/obo/UBERON_0003135	male reproductive organ	MP_0009198
http://purl.obolibrary.org/obo/MP_0012454	abnormal mammillothalamic tract morphology	http://purl.obolibrary.org/obo/UBERON_0002990	mammillothalamic tract of hypothalamus	MP_0012454
http://purl.obolibrary.org/obo/MP_0000458	abnormal mandible morphology	http://purl.obolibrary.org/obo/UBERON_0001684	mandible	MP_0000458
http://purl.obolibrary.org/obo/MP_0000455	abnormal maxilla morphology	http://purl.obolibrary.org/obo/UBERON_0002397	maxilla	MP_0000455
http://purl.obolibrary.org/obo/MP_0000897	abnormal midbrain morphology	http://purl.obolibrary.org/obo/UBERON_0001891	midbrain	MP_0000897
http://purl.obolibrary.org/obo/MP_0000452	abnormal mouth morphology	http://purl.obolibrary.org/obo/UBERON_0000165	mouth	MP_0000452
http://purl.obolibrary.org/obo/MP_0000579	abnormal nail morphology	http://purl.obolibrary.org/obo/UBERON_0001705	nail	MP_0000579
http://purl.obolibrary.org/obo/MP_0011256	abnormal neural fold morphology	http://purl.obolibrary.org/obo/UBERON_0005062	neural fold	MP_0011256
http://purl.obolibrary.org/obo/MP_0002151	abnormal neural tube morphology	http://purl.obolibrary.org/obo/UBERON_0001049	neural tube	MP_0002151
http://purl.obolibrary.org/obo/MP_0004267	abnormal optic tract morphology	http://purl.obolibrary.org/obo/UBERON_0001908	optic tract	MP_0004267
http://purl.obolibrary.org/obo/MP_0010030	abnormal orbit morphology	http://purl.obolibrary.org/obo/UBERON_0001697	orbit of skull	MP_0010030
http://purl.obolibrary.org/obo/MP_0009806	abnormal otic vesicle morphology	http://purl.obolibrary.org/obo/UBERON_0003051	ear vesicle	MP_0009806
http://purl.obolibrary.org/obo/MP_0002177	abnormal outer ear morphology	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	MP_0002177
http://purl.obolibrary.org/obo/MP_0004509	abnormal pelvic girdle bone morphology	http://purl.obolibrary.org/obo/UBERON_0007830	pelvic girdle bone/zone	MP_0004509
http://purl.obolibrary.org/obo/MP_0000288	abnormal pericardium morphology	http://purl.obolibrary.org/obo/UBERON_0002407	pericardium	MP_0000288
http://purl.obolibrary.org/obo/MP_0002884	abnormal pharyngeal arch morphology	http://purl.obolibrary.org/obo/UBERON_0002539	pharyngeal arch	MP_0002884
http://purl.obolibrary.org/obo/MP_0010009	abnormal piriform cortex morphology	http://purl.obolibrary.org/obo/UBERON_0004725	piriform cortex	MP_0010009
http://purl.obolibrary.org/obo/MP_0001711	abnormal placenta morphology	http://purl.obolibrary.org/obo/UBERON_0001987	placenta	MP_0001711
http://purl.obolibrary.org/obo/MP_0000848	abnormal pons morphology	http://purl.obolibrary.org/obo/UBERON_0000988	pons	MP_0000848
http://purl.obolibrary.org/obo/MP_0012448	abnormal primary motor cortex morphology	http://purl.obolibrary.org/obo/UBERON_0001384	primary motor cortex	MP_0012448
http://purl.obolibrary.org/obo/MP_0001317	abnormal pupil morphology	http://purl.obolibrary.org/obo/UBERON_0001771	pupil	MP_0001317
http://purl.obolibrary.org/obo/MP_0000552	abnormal radius morphology	http://purl.obolibrary.org/obo/UBERON_0001423	radius bone	MP_0000552
http://purl.obolibrary.org/obo/MP_0002160	abnormal reproductive system morphology	http://purl.obolibrary.org/obo/UBERON_0000990	reproductive system	MP_0002160
http://purl.obolibrary.org/obo/MP_0010097	abnormal retina blood vessel morphology	http://purl.obolibrary.org/obo/UBERON_0003501	retina blood vessel	MP_0010097
http://purl.obolibrary.org/obo/MP_0003733	abnormal retina inner nuclear layer morphology	http://purl.obolibrary.org/obo/UBERON_0001791	inner nuclear layer of retina	MP_0003733
http://purl.obolibrary.org/obo/MP_0001325	abnormal retina morphology	http://purl.obolibrary.org/obo/UBERON_0000966	retina	MP_0001325
http://purl.obolibrary.org/obo/MP_0003731	abnormal retina outer nuclear layer morphology	http://purl.obolibrary.org/obo/UBERON_0001789	outer nuclear layer of retina	MP_0003731
http://purl.obolibrary.org/obo/MP_0002792	abnormal retina vasculature morphology	http://purl.obolibrary.org/obo/UBERON_0004864	vasculature of retina	MP_0002792
http://purl.obolibrary.org/obo/MP_0012451	abnormal retrosplenial granular cortex morphology	http://purl.obolibrary.org/obo/UBERON_0014918	retrosplenial granular cortex	MP_0012451
http://purl.obolibrary.org/obo/MP_0000150	abnormal rib morphology	http://purl.obolibrary.org/obo/UBERON_0002228	rib	MP_0000150
http://purl.obolibrary.org/obo/MP_0003050	abnormal sacral vertebrae morphology	http://purl.obolibrary.org/obo/UBERON_0001094	sacral vertebra	MP_0003050
http://purl.obolibrary.org/obo/MP_0000149	abnormal scapula morphology	http://purl.obolibrary.org/obo/UBERON_0006849	scapula	MP_0000149
http://purl.obolibrary.org/obo/MP_0000863	abnormal secondary somatosensory cortex morphology	http://purl.obolibrary.org/obo/UBERON_0008934	secondary somatosensory cortex	MP_0000863
http://purl.obolibrary.org/obo/MP_0002060	abnormal skin morphology	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin	MP_0002060
http://purl.obolibrary.org/obo/MP_0000443	abnormal snout morphology	http://purl.obolibrary.org/obo/UBERON_0006333	snout	MP_0000443
http://purl.obolibrary.org/obo/MP_0000955	abnormal spinal cord morphology	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord	MP_0000955
http://purl.obolibrary.org/obo/MP_0004077	abnormal striatum morphology	http://purl.obolibrary.org/obo/UBERON_0002435	striatum	MP_0004077
http://purl.obolibrary.org/obo/MP_0002861	abnormal tail bud morphology	http://purl.obolibrary.org/obo/UBERON_0002533	post-anal tail bud	MP_0002861
http://purl.obolibrary.org/obo/MP_0002111	abnormal tail morphology	http://purl.obolibrary.org/obo/UBERON_0007812	post-anal tail	MP_0002111
http://purl.obolibrary.org/obo/MP_0001146	abnormal testis morphology	http://purl.obolibrary.org/obo/UBERON_0000473	testis	MP_0001146
http://purl.obolibrary.org/obo/MP_0000826	abnormal third ventricle morphology	http://purl.obolibrary.org/obo/UBERON_0002286	third ventricle	MP_0000826
http://purl.obolibrary.org/obo/MP_0003047	abnormal thoracic vertebrae morphology	http://purl.obolibrary.org/obo/UBERON_0002347	thoracic vertebra	MP_0003047
http://purl.obolibrary.org/obo/MP_0000558	abnormal tibia morphology	http://purl.obolibrary.org/obo/UBERON_0000979	tibia	MP_0000558
http://purl.obolibrary.org/obo/MP_0002100	abnormal tooth morphology	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth	MP_0002100
http://purl.obolibrary.org/obo/MP_0005108	abnormal ulna morphology	http://purl.obolibrary.org/obo/UBERON_0001424	ulna	MP_0005108
http://purl.obolibrary.org/obo/MP_0001725	abnormal umbilical cord morphology	http://purl.obolibrary.org/obo/UBERON_0002331	umbilical cord	MP_0001725
http://purl.obolibrary.org/obo/MP_0001139	abnormal vagina morphology	http://purl.obolibrary.org/obo/UBERON_0000996	vagina	MP_0001139
http://purl.obolibrary.org/obo/MP_0000137	abnormal vertebrae morphology	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra	MP_0000137
http://purl.obolibrary.org/obo/MP_0004599	abnormal vertebral arch morphology	http://purl.obolibrary.org/obo/UBERON_0003861	neural arch	MP_0004599
http://purl.obolibrary.org/obo/MP_0002098	abnormal vibrissa morphology	http://purl.obolibrary.org/obo/UBERON_0011933	vibrissa unit	MP_0002098
http://purl.obolibrary.org/obo/MP_0001718	abnormal visceral yolk sac morphology	http://purl.obolibrary.org/obo/UBERON_0008852	visceral yolk sac	MP_0001718
http://purl.obolibrary.org/obo/MP_0003229	abnormal vitelline vasculature morphology	http://purl.obolibrary.org/obo/UBERON_0004374	vitelline vasculature	MP_0003229
http://purl.obolibrary.org/obo/MP_0010666	abnormal vitelline vein morphology	http://purl.obolibrary.org/obo/UBERON_0005487	vitelline vein	MP_0010666
http://purl.obolibrary.org/obo/MP_0005270	abnormal zygomatic bone morphology	http://purl.obolibrary.org/obo/UBERON_0001683	jugal bone	MP_0005270
